#PA_slit=200
#S/N=3
#      R,"      v_Hbeta      e_V         sig_Hb     e_sig       v_OIII      e_v         sig_OIII    e_sig     S/N(HB)    S/N(OIII)
     -2.86    24785.82    1.50E+01      104.46    1.69E+01    24770.67    2.20E+01     136.28    2.38E+01      4.51        3.16
     -2.33    24782.04    1.98E+01      141.81    2.11E+01    24756.81    2.33E+01     142.10    2.50E+01      4.99        3.59
     -1.97    24795.42    1.78E+01      152.99    1.88E+01    24771.58    2.14E+01     148.56    2.29E+01      5.73        4.04
     -1.61    24790.26    1.93E+01      182.62    2.01E+01    24775.38    1.74E+01     161.97    1.83E+01      6.31        5.08
     -1.25    24758.12    1.54E+01      139.85    1.64E+01    24743.62    1.62E+01     174.66    1.69E+01      6.03        6.01
     -0.90    24735.79    1.26E+01      149.31    1.34E+01    24778.03    1.59E+01     176.54    1.66E+01      7.99        5.96
     -0.54    24744.29    1.63E+01      190.69    1.70E+01    24730.45    1.86E+01     204.02    1.92E+01      6.46        6.22
     -0.18    24730.94    1.39E+01      160.92    1.47E+01    24734.03    1.42E+01     167.88    1.49E+01      8.78        6.89
      0.17    24712.91    1.61E+01      157.18    1.70E+01    24726.13    1.48E+01     188.35    1.54E+01      5.85        6.87
      0.53    24705.45    1.77E+01      162.15    1.86E+01    24718.75    1.78E+01     183.99    1.84E+01      5.16        4.96
      0.89    24694.01    1.71E+01      176.49    1.79E+01    24670.33    1.91E+01     151.19    2.06E+01      5.82        4.46
      1.24    24686.31    1.67E+01      138.82    1.81E+01    24682.05    2.12E+01     174.92    2.21E+01      5.78        4.83
      1.60    24675.05    1.74E+01      126.39    1.91E+01    24609.51    2.03E+01     115.20    2.27E+01      5.26        4.00
      2.13    24671.48    2.63E+01      173.45    2.78E+01    24603.01    2.04E+01     127.47    2.24E+01      2.92        3.21
      2.89    24608.79    2.25E+01       84.48    2.65E+01    24628.02    2.74E+01     149.14    2.95E+01      3.39        2.73
