#PA_slit=333
#S/N=10
#    R,"     vel,km/s     v_err     sig,km/s    s_err    age,Myr    age_err     [Fe/H],dex   Z_err
   -3.93    24624.60     10.17       85.85     13.10    12737.09   7171.28       -0.42      0.16
   -2.68    24639.04      9.82      121.62     12.09     8829.24   4639.90       -0.09      0.16
   -2.14    24663.49     11.38      131.08     13.94    14553.99   9239.79       -0.31      0.14
   -1.78    24662.22      9.30      139.77     11.35    14861.21   7775.23       -0.27      0.10
   -1.43    24669.92      7.83      152.39      9.51    15594.84   6244.65       -0.29      0.06
   -1.07    24677.16      6.95      189.03      8.03    16251.11   4824.64       -0.20      0.07
   -0.71    24684.22      6.02      201.30      6.81    18962.69   4467.87       -0.19      0.04
   -0.36    24700.27      5.27      213.61      5.85    16523.77   4466.43       -0.14      0.04
    0.00    24713.08      4.86      210.68      5.45    15808.49   3356.31       -0.15      0.04
    0.36    24726.87      4.66      185.84      5.42    14790.38   2956.21       -0.21      0.03
    0.71    24735.89      5.87      191.88      6.76    14796.67   3979.58       -0.25      0.04
    1.07    24734.01      7.08      185.57      8.13    11817.25   3160.50       -0.17      0.07
    1.43    24741.80      7.39      154.24      8.73    12858.67   4447.59       -0.16      0.08
    1.78    24738.84      8.86      131.72     10.70    13124.03   6529.72       -0.30      0.10
    2.14    24768.89      9.30      113.95     11.54    16010.23  11064.97       -0.25      0.08
    2.68    24773.14      9.55      107.65     11.87    14305.83   9029.86       -0.33      0.12
    4.28    24758.40     11.65      110.78     14.48    14016.75   9483.36       -0.35      0.15
