#Stellar kinematics Malin I PA=200 Vsys=24771
#Original spectra:Malin_I-1G.ln
#r(")             Vel        Sig(TD)  Err Vel   ErrSig
  -7.4       24930.8        0.0       19.0       59.7
  -6.1       24955.0      134.1       39.9       58.1
  -5.0       24851.6      122.0       24.7       38.4
  -4.1       24823.9      121.8       19.8       30.8
  -3.4       24818.8      157.3       20.4       27.9
  -2.7       24836.3      155.9       17.1       23.5
  -2.0       24827.8      158.1       11.3       15.5
  -1.3       24784.6      177.2       11.0       14.3
  -0.7       24758.2      209.4       13.7       16.8
   0.0       24751.0      194.4       13.3       16.7
   0.7       24786.7      188.7       12.7       16.1
   1.3       24765.1      190.2       15.1       19.1
   2.0       24705.9      181.6       14.7       19.0
   2.7       24694.1      273.6       28.7       32.5
   3.4       24735.5      138.1       31.6       45.7
   5.0       24744.2      150.7       42.8       58.9
   6.1       24701.0      218.5       42.5       50.9
