#Stellar kinematics Malin I PA=-27  Vsys=24781
#Original spectra:Malin_I-2.ln
#r(")             Vel        Sig(TD)  Err Vel   ErrSig
  -6.3       24741.1        0.0       22.7       76.6
  -5.6       24684.0        0.0       21.2       71.9
  -4.9       24697.8       98.9       22.5       36.5
  -4.1       24702.6      106.4       16.6       26.0
  -3.4       24671.6      123.3       11.9       17.2
  -2.7       24708.8      134.3       10.2       14.1
  -2.0       24741.0      163.7        8.8       11.2
  -1.3       24754.3      191.8       10.3       12.4
  -0.7       24771.2      213.6       13.0       15.2
   0.0       24795.6      214.8       12.7       14.8
   0.7       24810.9      207.0       12.8       15.1
   1.3       24815.8      187.4       10.2       12.4
   2.0       24830.9      151.1       10.2       13.4
   2.7       24834.3      128.0        9.3       13.3
   3.4       24840.6      131.2       10.3       14.4
   4.1       24831.9       92.8       12.5       21.3
#   4.9       24855.7      156.9       26.6       34.3
   5.6       24889.7       92.0       25.4       42.8
   6.3       24848.2        0.0       14.5       46.5
