#Stellar kinematics Malin I PA=234.6  (lambda5130-5950)
#Original spectra:Malin_I-3.ln
#r(")            Vel       Sig(TD)  Err Vel   ErrSig
  -6.3      24900.4      128.2       33.5       46.4
  -5.6      24852.2        0.0       17.6       64.9
  -4.9      24868.9      106.1       22.6       34.8
  -4.1      24872.3      185.3       33.1       39.9
  -3.4      24849.7      153.2       19.2       24.9
  -2.7      24836.3      141.8       14.9       20.0
  -2.0      24820.7      158.3       13.2       16.9
  -1.3      24794.0      190.1        9.1       10.9
  -0.7      24788.7      171.4        9.3       11.6
   0.0      24774.9      192.0       10.4       12.5
   0.7      24759.1      195.0       11.2       13.3
   1.3      24761.6      186.4       12.1       14.6
   2.0      24725.4      159.6       13.4       17.2
   2.7      24712.8      164.1       18.0       22.8
   3.4      24651.3      195.0       18.5       22.0
   4.1      24677.2      266.3       56.6       62.3
   4.9      24650.4       97.7       21.2       34.4
   5.6      24698.7      203.3       46.1       53.9
#   7.0      24800.1       41.4       26.8       67.4
#   7.7      24789.7       69.8       20.2       40.4
#   8.5      24840.4       59.3       14.1       32.4
#   9.2      24829.0       96.9       12.1       19.9
#  10.1      24857.5      105.9       14.5       22.6
#  11.2      24898.6       67.7       25.1       50.1
