# UGC 2487 = NGC 1167
# WSRT data; from Struve, C. et al., Astronomy and Astrophysics, Volume 523, id.A75
# PA = 75 pm 3 deg
# not corrected for V_sys
# inclination = 36 pm deg
# data ARE NOT corrected for inclination
# r"   v_r  dv
-200  5145  15
-190  5147  15
-180  5147  15
-170  5149  15
-160  5150  15
-150  5153  15
-140  5157  15
-130  5163  15
-120  5170  15
-110  5185  15
-100  5182  15
 -90  5175  15
 -80  5167  15
 -70  5162  15
 -60  5160  15
 -50  5158  15
 -40  5158  15
 -30  5158  15
 -20  5158  15
  20  4745  15
  30  4745  15
  40  4745  15
  50  4745  15
  60  4744  15
  70  4742  15
  80  4736  15
  90  4728  15
 100  4722  15
 110  4719  15
 120  4732  15
 130  4741  15
 140  4747  15
 150  4751  15
 160  4753  15
 170  4754  15
 180  4757  15
 190  4755  15
 200  4757  15
