# UGC 2487 = NGC 1167
# WSRT data; from Noordermeer, E. et al., 2007
# PA = 250-256 deg
# not corrected for V_sys; V_sys = 4952 km/s
# inclination = 36 pm deg
# data ARE NOT corrected for inclination
# r"  v_r   dv
-225  5150  15
-210  5148  15
-195  5147  15
-180  5145  15
-165  5150  15
-150  5152  15
-135  5152  15
-120  5161  15
-105  5174  15
 -90  5169  15
 -75  5160  15
 -60  5155  15
 -45  5160  15
 -30  5180  15
  30  4733  15
  45  4731  15
  60  4736  15
  75  4733  15
  90  4728  15
 105  4725  15
 120  4735  15
 135  4747  15
 150  4757  15
 165  4760  15
 180  4762  15
 195  4762  15
 210  4762  15
 225  4772  15
