# Curve 3 of 4, 100 points
# r(")     s_maj
 0         116.2
 0.283599  117.577
 0.570338  118.853
 0.860533  120.037
 1.1532    121.137
 1.4471    122.162
 1.74122   123.115
 2.03486   123.997
 2.32772   124.804
 2.61973   125.532
 2.91102   126.179
 3.20179   126.744
 3.49226   127.233
 3.78264   127.65
 4.07307   128.007
 4.36365   128.313
 4.65443   128.578
 4.94545   128.813
 5.23674   129.025
 5.52837   129.22
 5.82047   129.402
 6.11324   129.571
 6.40699   129.726
 6.70213   129.863
 6.99922   129.977
 7.29893   130.06
 7.60208   130.102
 7.9096    130.094
 8.22255   130.022
 8.54205   129.874
 8.8693    129.635
 9.20551   129.292
 9.55188   128.827
 9.90956   128.227
10.2796    127.477
10.6628    126.562
11.0601    125.472
11.4718    124.195
11.8984    122.726
12.3398    121.062
12.7961    119.202
13.2668    117.153
13.7515    114.923
14.2495    112.527
14.76      109.984
15.2824    107.317
15.8158    104.553
16.3594    101.72
16.9126     98.8522
17.4748     95.9815
18.0457     93.1417
18.625      90.3661
19.2128     87.6859
19.8094     85.1298
20.4151     82.7231
21.0306     80.4862
21.6569     78.4347
22.2949     76.5783
22.9459     74.9202
23.6111     73.4571
24.2922     72.179
24.9905     71.0692
25.7075     70.1047
26.4448     69.2567
27.2039     68.4915
27.9864     67.7715
28.7936     67.0569
29.627      66.3072
30.488      65.483
31.3783     64.5487
32.2991     63.474
33.2523     62.2367
34.2395     60.8247
35.2628     59.2372
36.3243     57.4864
37.4265     55.5975
38.5723     53.6081
39.7648     51.5666
41.0076     49.5296
42.3049     47.5581
43.6612     45.7131
45.0818     44.0502
46.5724     42.6144
48.1397     41.4348
49.7911     40.5195
51.5347     39.8512
53.3801     39.3834
55.3379     39.0379
57.4203     38.7035
59.641      38.2366
62.016      37.4659
64.5632     36.2041
67.3032     34.2687
70.2591     31.5176
73.4565     27.9018
76.9226     23.5358
80.686      18.7772
84.7738     14.298
89.2081     11.1112
94          10.5
