# Curve 1 of 4, 99 points
# r(")      s_min
  0         121.8
  0.407586  122.651
  0.818605  123.332
  1.23391   123.914
  1.65291   124.448
  2.07444   124.964
  2.49729   125.477
  2.92045   125.987
  3.3432    126.486
  3.76509   126.962
  4.18594   127.401
  4.60577   127.787
  5.02472   128.108
  5.443     128.353
  5.86087   128.511
  6.27855   128.576
  6.69627   128.542
  7.11421   128.406
  7.53255   128.165
  7.95146   127.818
  8.37111   127.367
  8.79174   126.812
  9.21365   126.157
  9.63725   125.404
 10.0631    124.558
 10.4918    123.623
 10.9242    122.605
 11.3613    121.508
 11.8042    120.338
 12.2541    119.098
 12.7124    117.792
 13.1805    116.424
 13.6599    114.995
 14.1519    113.508
 14.6581    111.965
 15.1798    110.365
 15.718     108.71
 16.274     107.001
 16.8484    105.24
 17.4419    103.428
 18.055     101.569
 18.6877     99.6658
 19.3402     97.725
 20.012      95.7525
 20.7029     93.7562
 21.4122     91.745
 22.1394     89.7286
 22.8837     87.718
 23.6445     85.7242
 24.4211     83.7588
 25.2129     81.8329
 26.0195     79.9573
 26.8406     78.1418
 27.676      76.3951
 28.526      74.7241
 29.3906     73.1339
 30.2706     71.6274
 31.1666     70.2054
 32.0794     68.8661
 33.0103     67.6055
 33.9604     66.4175
 34.9311     65.2938
 35.9237     64.2247
 36.9398     63.1992
 37.981      62.2059
 39.0486     61.2333
 40.1444     60.2705
 41.2698     59.3083
 42.4264     58.3392
 43.6158     57.3586
 44.8394     56.3651
 46.0991     55.3608
 47.3964     54.3515
 48.7333     53.3466
 50.1118     52.3586
 51.5339     51.4027
 53.0022     50.4954
 54.5192     49.6537
 56.088      48.8932
 57.7116     48.2265
 59.3937     47.6616
 61.1384     47.2003
 62.9498     46.8368
 64.8332     46.557
 66.7939     46.338
 68.8384     46.1491
 70.9738     45.9525
 73.2084     45.7054
 75.5519     45.3608
 78.0154     44.8685
 80.6116     44.1728
 83.3552     43.2062
 86.263      41.8773
 89.3535     40.0514
 92.6476     37.5236
 96.1674     33.9892
 99.9365     29.0201
103.979      22.0694
108.318      12.5428
