# Curve 0 of 5, 100 points
# Curve title: "stars_{Zasov}"
# r(")     v_maj
 0.3       22.5287
 0.482388  25.5792
 0.747592  25.8631
 1.03391   27.5788
 1.32869   30.5547
 1.62709   34.2344
 1.92572   38.1728
 2.22239   42.0748
 2.51621   45.7748
 2.80727   49.1958
 3.09627   52.3092
 3.38413   55.1086
 3.67177   57.5992
 3.95993   59.7984
 4.24909   61.7377
 4.53943   63.462
 4.83083   65.0246
 5.12299   66.4789
 5.41548   67.8708
 5.70789   69.2327
 5.99992   70.5828
 6.29141   71.926
 6.58242   73.2594
 6.87317   74.5782
 7.16409   75.8804
 7.45575   77.1722
 7.74887   78.469
 8.04436   79.7967
 8.34332   81.1901
 8.64711   82.6907
 8.95734   84.344
 9.2759    86.1965
 9.60492   88.2925
 9.94663   90.672
10.3033    93.368
10.677     96.4044
11.0695    99.7949
11.482    103.541
11.9153   107.633
12.3692   112.047
12.8433   116.748
13.3361   121.688
13.8461   126.808
14.3711   132.043
14.9092   137.318
15.4581   142.556
16.0159   147.679
16.5808   152.608
17.1514   157.272
17.7266   161.605
18.3058   165.554
18.8886   169.078
19.4751   172.151
20.0659   174.765
20.6618   176.924
21.2642   178.65
21.8748   179.976
22.4958   180.946
23.1293   181.611
23.7781   182.026
24.4446   182.25
25.1314   182.34
25.8405   182.353
26.5739   182.341
27.3331   182.353
28.119    182.434
28.9326   182.623
29.7743   182.952
30.6448   183.451
31.5445   184.14
32.4746   185.035
33.4361   186.146
34.4307   187.477
35.4605   189.027
36.5278   190.788
37.6353   192.747
38.7862   194.883
39.9841   197.16
41.233    199.525
42.5378   201.899
43.9039   204.171
45.3372   206.204
46.8445   207.843
48.4332   208.945
50.1114   209.417
51.888    209.254
53.7736   208.578
55.7805   207.649
57.9233   206.829
60.2201   206.514
62.6924   207.016
65.3656   208.43
68.2695   210.532
71.4372   212.774
74.903    214.439
78.6964   215.028
82.8273   214.811
87.236    215.118
91.5836   217.067
94.3      216.255
