# UGC 3546 = NGC 2273
# Zasov+08
# PA = 148 deg
# not corrected for V_sys
# inclination = 55 deg (adopted by Noordermeer+2007)
# data ARE NOT corrected for inclination
# SSBS_FUL: Cross correlation with star HD102328.ln
# Spectral range: 762- 1766shiftting by 90 (in log-bins)
#  r"      v     dv  sig(TD)  dsig
 -56.5  1817.5  20.0   50.2  44.3
 -50.0  1833.7  23.5   90.3  36.5
 -45.0  1849.7  14.2    0.0  54.0
 -41.0  1837.6  17.7   64.0  34.2
 -37.4  1864.0  12.2   42.2  32.0
 -34.2  1861.5  10.5    0.0  47.8
 -31.3  1859.4   9.7   49.8  23.0
 -28.8  1860.1   8.1   28.9  28.8
 -26.6  1844.8   9.7   54.3  21.7
 -24.5  1855.9   6.9   58.2  14.7
 -22.3  1861.3   5.8   61.5  11.8
 -20.5  1869.8   6.6   67.1  12.7
 -19.1  1868.7   6.1   63.1  12.3
 -17.6  1873.9   6.1   58.4  12.9
 -16.2  1872.7   5.0   60.0  10.5
 -14.8  1869.0   4.5   76.3   8.0
 -13.3  1877.1   4.5   87.8   7.2
 -11.9  1870.6   4.8   88.3   7.7
 -10.4  1880.5   5.3   95.7   8.1
  -9.4  1874.8   6.7  112.0   9.4
  -8.6  1881.7   5.8  105.8   8.3
  -7.9  1878.8   5.0  118.2   6.9
  -7.2  1880.6   5.3  122.9   7.1
  -6.5  1876.3   5.7  127.9   7.5
  -5.8  1882.3   5.7  131.1   7.4
  -5.0  1878.7   5.5  126.7   7.3
  -4.3  1874.5   4.1  124.6   5.5
  -3.6  1877.5   5.3  134.6   6.8
  -2.9  1876.0   5.4  125.3   7.3
  -2.2  1886.8   6.4  122.7   8.6
  -1.4  1889.0   7.2  125.3   9.6
  -0.7  1885.4   7.9  125.0  10.6
   0.0  1880.8   8.4  121.8  11.4
   0.7  1873.3   7.4  124.4  10.0
   1.4  1866.7   7.1  125.0   9.5
   2.2  1857.1   6.7  129.9   8.8
   2.9  1854.6   5.4  132.8   7.0
   3.6  1845.8   4.6  130.7   6.1
   4.3  1847.0   4.1  134.8   5.3
   5.0  1840.6   5.0  129.4   6.6
   5.8  1839.0   4.7  130.2   6.2
   6.5  1838.7   4.6  118.5   6.3
   7.2  1830.8   5.9  115.4   8.1
   7.9  1827.7   5.5  110.4   7.7
   8.6  1827.4   6.0  107.2   8.7
   9.4  1829.5   6.0  110.4   8.6
  10.4  1828.7   5.6  108.1   7.9
  11.9  1827.1   5.0   89.2   7.9
  13.3  1828.9   4.5   90.2   7.2
  14.8  1830.3   5.6   76.0   9.9
  16.2  1828.4   4.8   72.7   8.8
  17.6  1827.5   5.7   74.4  10.2
  19.1  1828.3   5.3   58.0  11.3
  20.5  1829.1   5.2   55.8  11.5
  22.3  1832.7   5.2   66.4  10.1
  24.5  1824.3   8.3   66.5  16.0
  26.6  1829.3   8.2   65.8  16.0
  28.8  1832.7   7.4   55.0  16.5
  31.3  1820.1   8.4   58.9  17.7
  34.2  1828.2   9.9   45.1  25.2
  37.4  1817.8  10.2   70.3  18.9
  41.0  1838.9  13.2   58.9  27.4
  45.0  1848.3  12.8   52.9  28.6
  50.0  1823.2  11.2   23.4  40.8
  56.5  1817.7  13.7   34.3  40.1
  64.8  1831.1  11.3    0.0  44.3
