#RESOURCE=yCat_51420145
#Name: J/AJ/142/145
#Title: Outer disks of S0-Sb gal. II. Surface-brigthness (Gutierrez+, 2011)
#Table J_AJ_142_145_table8:
#Name: J/AJ/142/145/table8
#Title: Surface brightness profiles
#---Details of Columns:
#    Name             (A8)    Galaxy name \linkRole{basic galaxy data } [ucd=meta.id;meta.main]
#    a (arcsec)       (F7.2)  Semimajor axis [ucd=stat.fit.param]
#    mu (mag/arcsec2) (F5.2)  R-band surface brightness, except for UGC 4599 which is the B-band. [ucd=phot.mag.sb;em.opt.R]
NGC 2985    1.01 16.05
NGC 2985    1.04 16.06
NGC 2985    1.07 16.09
NGC 2985    1.10 16.11
NGC 2985    1.14 16.14
NGC 2985    1.17 16.16
NGC 2985    1.20 16.19
NGC 2985    1.24 16.22
NGC 2985    1.28 16.24
NGC 2985    1.32 16.27
NGC 2985    1.36 16.30
NGC 2985    1.40 16.32
NGC 2985    1.44 16.35
NGC 2985    1.48 16.38
NGC 2985    1.52 16.41
NGC 2985    1.57 16.44
NGC 2985    1.62 16.47
NGC 2985    1.67 16.50
NGC 2985    1.72 16.53
NGC 2985    1.77 16.56
NGC 2985    1.82 16.59
NGC 2985    1.88 16.63
NGC 2985    1.93 16.66
NGC 2985    1.99 16.69
NGC 2985    2.05 16.72
NGC 2985    2.11 16.75
NGC 2985    2.17 16.78
NGC 2985    2.24 16.81
NGC 2985    2.31 16.84
NGC 2985    2.38 16.87
NGC 2985    2.45 16.91
NGC 2985    2.52 16.94
NGC 2985    2.60 16.97
NGC 2985    2.68 17.00
NGC 2985    2.76 17.03
NGC 2985    2.84 17.06
NGC 2985    2.92 17.09
NGC 2985    3.01 17.12
NGC 2985    3.10 17.15
NGC 2985    3.19 17.18
NGC 2985    3.29 17.21
NGC 2985    3.39 17.25
NGC 2985    3.49 17.28
NGC 2985    3.59 17.32
NGC 2985    3.70 17.35
NGC 2985    3.81 17.39
NGC 2985    3.93 17.42
NGC 2985    4.05 17.46
NGC 2985    4.17 17.50
NGC 2985    4.29 17.54
NGC 2985    4.42 17.58
NGC 2985    4.55 17.62
NGC 2985    4.69 17.66
NGC 2985    4.83 17.70
NGC 2985    4.98 17.74
NGC 2985    5.12 17.78
NGC 2985    5.28 17.82
NGC 2985    5.44 17.86
NGC 2985    5.60 17.90
NGC 2985    5.77 17.95
NGC 2985    5.94 17.99
NGC 2985    6.12 18.03
NGC 2985    6.30 18.07
NGC 2985    6.49 18.11
NGC 2985    6.69 18.16
NGC 2985    6.89 18.20
NGC 2985    7.10 18.24
NGC 2985    7.31 18.28
NGC 2985    7.53 18.33
NGC 2985    7.76 18.38
NGC 2985    7.99 18.43
NGC 2985    8.23 18.49
NGC 2985    8.47 18.55
NGC 2985    8.73 18.61
NGC 2985    8.99 18.66
NGC 2985    9.26 18.71
NGC 2985    9.54 18.76
NGC 2985    9.82 18.81
NGC 2985   10.12 18.86
NGC 2985   10.42 18.90
NGC 2985   10.73 18.94
NGC 2985   11.06 18.98
NGC 2985   11.39 19.01
NGC 2985   11.73 19.04
NGC 2985   12.08 19.07
NGC 2985   12.44 19.11
NGC 2985   12.81 19.16
NGC 2985   13.20 19.21
NGC 2985   13.60 19.25
NGC 2985   14.00 19.30
NGC 2985   14.42 19.34
NGC 2985   14.86 19.38
NGC 2985   15.30 19.41
NGC 2985   15.76 19.44
NGC 2985   16.23 19.48
NGC 2985   16.72 19.53
NGC 2985   17.22 19.57
NGC 2985   17.74 19.62
NGC 2985   18.27 19.66
NGC 2985   18.82 19.70
NGC 2985   19.38 19.75
NGC 2985   19.97 19.79
NGC 2985   20.57 19.83
NGC 2985   21.18 19.87
NGC 2985   21.82 19.90
NGC 2985   22.47 19.93
NGC 2985   23.15 19.98
NGC 2985   23.84 20.01
NGC 2985   24.56 20.05
NGC 2985   25.29 20.10
NGC 2985   26.05 20.14
