# UGC 5253 = NGC 2985
# Epinat+2008 ionized gas
# GHASP: H_alpha data cubes for 97 galaxies, MNRAS, 390, 466, 2008
# PA = ?
# inclination =  36 deg (adopted by Epinat+2008)
# data are corrected for inclination
# Distance = 21.1 Mpc
# r   Vrot   dv 
# "  km/s  km/s
1.1  99  11
7.3  189  3
8.6  237  11
10.3  216  11
12.8  206  7
13.4  220  7
16.0  215  7
16.2  217  4
18.7  217  4
18.8  214  3
21.6  219  4
21.8  223  5
22.8  213  5
23.0  232  4
24.9  222  3
25.6  227  3
27.5  230  4
28.4  235  4
29.5  219  4
31.5  232  4
31.5  249  6
34.3  237  5
35.2  246  6
37.1  231  6
39.4  247  5
40.1  242  4
42.1  228  5
44.4  223  4
46.7  253  6
47.5  229  4
54.0  227  5
55.7  223  5
59.9  227  6
61.6  234  4
64.0  230  6
71.6  233  7
71.9  223  3
86.1  243  6
86.6  225  11
