# UGC 5253 = NGC 2985
# HSM99
# PA=180
# inclination =  36 deg (adopted by Epinat+2008)
# data are not corrected for inclination
# r"       v      dv     sig     dsig
 -37.6   125.0   26.0    98.0   62.0
 -33.0   126.0   32.0   157.0   40.0
 -28.4   134.0   26.0   135.0   34.0
 -23.8   121.0   20.0   126.0   27.0
 -19.2   121.0   14.0   100.0   21.0
 -14.6   -94.0   11.0   117.0   16.0
 -10.0   -91.0   16.0   158.0   20.0
  -7.7   -66.0   10.0   143.0   12.0
  -5.4   -42.0   10.0   141.0   14.0
  -4.2   -44.0   11.0   146.0   12.0
  -3.1   -27.0    9.0   155.0   12.0
  -1.9   -10.0    8.0   148.0   13.0
  -0.8    -8.0    7.0   150.0    8.0
   0.3     3.0    7.0   151.0    8.0
   1.5    14.0    8.0   148.0    9.0
   2.7    26.0    9.0   151.0    8.0
   3.8    32.0    8.0   143.0    9.0
   4.9    41.0   11.0   139.0   12.0
   6.1    44.0   13.0   152.0   14.0
   8.4    60.0   12.0   126.0   18.0
  11.9    74.0   11.0   133.0   13.0
  16.5    92.0   11.0   121.0   28.0
  21.0   106.0   17.0   105.0   24.0
  25.6   103.0   19.0    95.0   30.0
  30.2   120.0   20.0    93.0   34.0
  34.8   120.0   39.0   129.0   55.0
