# ind name R, arcsec  R, photom
1	NGC 3898	1.21	15.65
2	NGC 3898	1.25	15.68
3	NGC 3898	1.28	15.70
4	NGC 3898	1.32	15.72
5	NGC 3898	1.36	15.74
6	NGC 3898	1.40	15.77
7	NGC 3898	1.45	15.79
8	NGC 3898	1.49	15.82
9	NGC 3898	1.53	15.84
10	NGC 3898	1.58	15.87
11	NGC 3898	1.63	15.90
12	NGC 3898	1.68	15.93
13	NGC 3898	1.73	15.96
14	NGC 3898	1.78	15.98
15	NGC 3898	1.83	16.02
16	NGC 3898	1.88	16.05
17	NGC 3898	1.94	16.08
18	NGC 3898	2.00	16.11
19	NGC 3898	2.06	16.15
20	NGC 3898	2.12	16.18
21	NGC 3898	2.19	16.21
22	NGC 3898	2.25	16.25
23	NGC 3898	2.32	16.29
24	NGC 3898	2.39	16.33
25	NGC 3898	2.46	16.36
26	NGC 3898	2.53	16.40
27	NGC 3898	2.61	16.43
28	NGC 3898	2.69	16.47
29	NGC 3898	2.77	16.51
30	NGC 3898	2.85	16.55
31	NGC 3898	2.94	16.59
32	NGC 3898	3.03	16.63
33	NGC 3898	3.12	16.67
34	NGC 3898	3.21	16.72
35	NGC 3898	3.31	16.76
36	NGC 3898	3.41	16.80
37	NGC 3898	3.51	16.84
38	NGC 3898	3.61	16.89
39	NGC 3898	3.72	16.93
40	NGC 3898	3.83	16.97
41	NGC 3898	3.95	17.02
42	NGC 3898	4.07	17.06
43	NGC 3898	4.19	17.11
44	NGC 3898	4.31	17.15
45	NGC 3898	4.44	17.20
46	NGC 3898	4.58	17.24
47	NGC 3898	4.71	17.29
48	NGC 3898	4.85	17.33
49	NGC 3898	5.00	17.38
50	NGC 3898	5.15	17.43
51	NGC 3898	5.31	17.48
52	NGC 3898	5.46	17.52
53	NGC 3898	5.63	17.57
54	NGC 3898	5.80	17.62
55	NGC 3898	5.97	17.67
56	NGC 3898	6.15	17.71
57	NGC 3898	6.34	17.76
58	NGC 3898	6.53	17.81
59	NGC 3898	6.72	17.86
60	NGC 3898	6.92	17.91
61	NGC 3898	7.13	17.95
62	NGC 3898	7.35	18.00
63	NGC 3898	7.56	18.04
64	NGC 3898	7.79	18.09
65	NGC 3898	8.03	18.13
66	NGC 3898	8.27	18.18
67	NGC 3898	8.51	18.22
68	NGC 3898	8.77	18.27
69	NGC 3898	9.03	18.31
70	NGC 3898	9.31	18.35
