# UGC 6787 = NGC 3898
# Heraudeau+1999, A&AS, 136, 509, 1999
# PA = 107 deg
# inclination = 70 deg (adopted by Epinat+2008)
# data ARE NOT corrected for inclination
# r"     v    dv    sig    dsig
-27.1  105.0  21.0  146.0  29.0
-22.5   93.0  23.0  169.0  24.0
-17.9  111.0  18.0  141.0  24.0
-13.3  110.0  16.0  153.0  17.0
 -3.0   66.0  17.0  224.0  22.0
 -1.8   17.0  16.0  219.0  19.0
 -0.7    2.0  18.0  219.0  18.0
  0.5    0.0  14.0  226.0  18.0
  1.6  -26.0  17.0  217.0  19.0
  2.8  -38.0  15.0  226.0  20.0
  6.2  -82.0  16.0  194.0  16.0
 10.8  111.0  15.0  166.0  17.0
 15.4  116.0  19.0  186.0  21.0
 20.0  103.0  21.0  256.0  26.0
 24.6  -80.0  30.0  235.0  35.0
 29.2  108.0  34.0  187.0  40.0
