# UGC 7165 = NGC 4150
# Zasov+08
# PA = 146 deg
# not corrected for V_sys
# inclination = 56 deg (adopted by Noordermeer+2007)
# data ARE NOT corrected for inclination
# SSBS_FUL: Cross correlation with star hd125560.ln
# Original spectra:n4150ma.ln
#  r"      v     dv  sig(TD)  dsig
 -63.9   328.1  14.6    0.0  52.0
 -50.8   317.1  10.5    0.0  47.6
 -42.3   311.9   8.0   42.3  22.5
 -36.7   322.5   5.3    9.3  32.7
 -32.6   325.5   5.8   20.6  27.6
 -29.3   326.4   5.7   53.4  13.6
 -26.6   313.4   5.4   37.0  17.4
 -24.3   319.2   4.0   39.9  12.1
 -22.3   321.5   5.2   57.8  11.6
 -20.7   312.4   5.4   41.7  15.8
 -19.3   314.5   3.7   40.9  11.2
 -17.8   309.1   5.1   40.3  15.2
 -16.6   317.6   4.6   44.0  12.8
 -15.5   312.9   3.8   34.1  13.2
 -14.4   305.5   4.6   47.0  12.3
 -13.3   307.0   5.4   49.0  13.8
 -12.4   312.1   4.4   59.5   9.6
 -11.7   305.6   6.3   64.9  12.9
 -11.0   310.7   5.2   55.1  12.1
 -10.3   304.8   4.0   49.5  10.2
  -9.5   299.9   3.2   65.8   6.6
  -8.8   293.1   4.6   55.7  10.7
  -8.1   292.4   3.8   63.1   8.0
  -7.4   289.3   3.4   72.5   6.4
  -6.7   289.6   4.2   77.9   7.5
  -5.9   283.6   4.5   71.1   8.6
  -5.4   276.5   5.4   82.5   9.3
  -5.0   268.5   4.4   82.5   7.6
  -4.7   261.5   4.0   88.4   6.7
  -4.3   258.6   4.9   89.0   8.1
  -4.0   254.3   4.1   87.3   6.8
  -3.6   250.1   4.1   86.4   6.8
  -3.2   249.4   4.1   86.1   7.0
  -2.9   252.2   4.1   92.6   6.5
  -2.5   249.1   4.2   92.3   6.8
  -2.2   249.7   4.3   87.0   7.2
  -1.8   251.3   4.3   87.5   7.1
  -1.4   246.9   3.3   81.2   5.7
  -1.1   244.6   3.5   82.4   6.1
  -0.7   243.5   4.1   89.2   6.7
  -0.4   240.5   3.6   85.7   6.1
   0.0   243.2   2.7   86.6   4.6
   0.4   243.9   3.3   89.7   5.4
   0.7   243.9   3.6   90.2   5.8
   1.1   241.3   4.1   90.3   6.7
   1.4   238.0   3.5   88.7   5.7
   1.8   237.3   4.1   86.7   6.8
   2.2   234.4   3.9   88.5   6.4
   2.5   232.8   3.2   87.6   5.4
   2.9   228.4   3.0   86.5   5.0
   3.2   226.1   2.8   84.4   4.8
   3.6   226.9   3.1   88.4   5.2
   4.0   222.5   4.1   88.1   6.8
   4.3   217.5   4.8   81.0   8.3
   4.7   212.2   4.3   84.2   7.3
   5.0   211.9   3.5   83.4   6.0
   5.4   204.0   2.9   87.0   4.9
   5.9   195.5   3.6   82.3   6.2
   6.7   187.9   4.1   79.1   7.2
   7.4   182.5   4.0   67.3   8.0
   8.1   186.1   4.6   63.8   9.6
   8.8   177.8   4.5   64.7   9.3
   9.5   169.8   4.1   55.9   9.5
  10.3   169.9   4.1   51.4  10.1
  11.0   176.9   4.0   53.2   9.5
  11.7   166.4   5.1   55.1  12.0
  12.4   170.6   4.9   57.6  10.9
  13.3   171.7   3.9   41.1  11.6
  14.4   168.9   5.4   51.6  13.2
  15.5   171.5   5.2   51.6  12.7
  16.6   163.4   4.9   45.8  13.3
  17.8   162.5   5.2   19.0  26.5
  19.3   173.7   5.5   41.7  16.2
  20.7   160.2   5.1   47.3  13.5
  22.3   168.9   5.3   37.2  17.1
  24.3   162.7   4.6    0.0  32.1
  26.6   158.9   6.5    2.3  38.8
  29.3   160.7   4.1   38.8  12.9
  32.6   157.8   8.0   35.1  25.9
  36.7   172.5   8.1   24.1  33.1
  42.3   143.1   9.9    0.0  44.2
  50.8   159.9  10.7    0.0  48.1
  63.9   156.7  25.4    0.0  75.7
