# UGC 7165 = NGC 4150
# Zasov+08
# PA = 57 deg
# not corrected for V_sys
# inclination = 56 deg (adopted by Noordermeer+2007)
# data ARE NOT corrected for inclination
# SSBS_FUL: Cross correlation with star hd125560.ln
# Original spectra:n4150mi.ln
#  r"      v     dv  sig(TD)  dsig
 -42.3   228.1  14.6   15.9  54.5
 -36.7   220.9  11.5   36.1  35.1
 -32.6   210.3   9.7   40.1  28.2
 -29.3   245.2   8.0   50.1  19.9
 -26.6   222.8   4.8   36.9  15.6
 -24.3   217.1   5.3   36.0  17.4
 -22.3   228.4   4.4   42.2  12.9
 -20.7   225.8   5.3   71.5  10.2
 -19.3   227.9   4.1   46.9  11.0
 -17.8   225.3   4.2   45.5  11.4
 -16.6   224.2   4.3   39.3  13.4
 -15.5   226.7   4.5   38.0  14.3
 -14.4   234.1   4.1   43.7  11.5
 -13.3   221.8   4.0   51.3   9.9
 -12.4   226.5   5.2   46.3  14.1
 -11.7   230.2   4.0   49.6  10.1
 -11.0   225.8   3.9   55.1   9.2
 -10.3   226.8   3.7   66.3   7.4
  -9.5   223.9   2.8   58.4   6.4
  -8.8   224.2   3.3   57.3   7.4
  -8.1   221.8   2.8   60.7   6.1
  -7.4   226.0   3.7   66.4   7.5
  -6.7   223.4   4.2   69.2   8.3
  -5.9   227.3   3.8   60.6   8.3
  -5.4   226.7   3.7   59.0   8.2
  -5.0   225.3   4.3   66.2   8.6
  -4.7   226.4   4.3   66.8   8.6
  -4.3   223.7   3.6   68.3   7.2
  -4.0   224.6   2.5   73.4   4.6
  -3.6   223.7   3.9   74.1   7.2
  -3.2   220.6   3.9   73.7   7.3
  -2.9   222.9   3.4   74.5   6.3
  -2.5   223.3   3.0   71.2   5.8
  -2.2   222.7   3.2   70.5   6.3
  -1.8   222.4   3.3   70.4   6.4
  -1.4   222.3   3.1   70.4   6.1
  -1.1   223.1   3.2   74.9   6.0
  -0.7   222.4   3.6   78.0   6.5
  -0.4   222.2   3.3   83.4   5.7
   0.0   222.2   3.2   86.8   5.3
   0.4   222.3   3.7   83.4   6.3
   0.7   222.4   3.5   83.2   6.1
   1.1   221.0   3.3   81.8   5.7
   1.4   218.6   3.0   81.0   5.2
   1.8   220.1   3.0   75.8   5.6
   2.2   220.7   3.4   71.2   6.6
   2.5   220.9   3.5   75.6   6.5
   2.9   220.9   3.4   73.1   6.5
   3.2   222.4   3.7   70.9   7.2
   3.6   220.9   3.8   72.6   7.1
   4.0   223.8   3.9   69.8   7.6
   4.3   222.1   3.5   70.8   6.7
   4.7   223.7   3.1   71.0   6.0
   5.0   226.3   4.0   73.4   7.5
   5.4   222.4   3.6   75.0   6.7
   5.9   222.9   3.3   64.8   6.8
   6.7   221.1   4.0   62.0   8.5
   7.4   223.5   3.3   60.7   7.2
   8.1   224.2   3.9   56.4   8.9
   8.8   222.2   4.3   66.6   8.8
   9.5   222.3   3.9   56.4   8.9
  10.3   219.8   4.1   53.5   9.7
  11.0   216.2   5.0   62.8  10.5
  11.7   223.5   4.2   60.7   9.1
  12.4   226.3   4.7   49.2  12.1
  13.3   225.8   4.5   48.3  11.8
  14.4   227.0   4.4   48.8  11.3
  15.5   221.2   4.6   49.9  11.7
  16.6   224.0   5.0   62.3  10.7
  17.8   219.5   5.7   52.6  13.8
  19.3   221.0   4.9   44.7  13.4
  20.7   226.6   5.1   54.5  11.9
  22.3   211.4   4.3   56.5   9.8
  24.3   223.0   5.2   44.3  14.4
  26.6   235.8   6.2   61.4  13.2
  29.3   217.1   8.4    0.0  44.1
  32.6   231.9  11.4   43.9  30.5
  36.7   225.3  11.7   45.7  30.4
  42.3   274.1  29.2  159.4  35.9
