# UGC 8963 = NGC 5440
# Zasov+2012
# PA = 230 deg; PA_maj = 46.1 deg (from Mendez-Abreu+2008)
# not corrected for V_sys
# inclination = 65.7 deg (NED) (q_b = 0.36 - Mendez-Abreu+2008)
# data ARE NOT corrected for inclination
# r        vel       d_vel   sig     d_sig
# "        km/s      km/s    km/s    km/s
#(1)       (2)       (3)     (4)     (5)
-38.2000   3982.44   5.19    78.00    8.42
-31.5900   3967.52   5.44    84.67    8.44
-26.9500   3958.57   5.78   107.57    8.58
-23.2000   3928.23   6.02   117.14    7.94
-20.3500   3931.57   5.90   132.76    8.07
-18.2100   3934.44   6.08   126.89    9.16
-16.6000   3914.21   6.35   133.98    9.11
-15.1700   3920.83   5.87   123.15    7.99
-13.9200   3915.55   6.23   137.95    8.69
-12.8500   3919.94   5.79   124.62    8.31
-11.7800   3918.56   5.63   141.69    7.89
-10.8900   3908.36   6.70   149.39    8.43
-10.1700   3914.72   6.20   135.34    8.82
 -9.4600   3907.80   5.71   149.31    7.65
 -8.7500   3899.08   5.54   150.16    8.13
 -8.0300   3890.16   4.87   146.45    7.09
 -7.5000   3899.96   6.27   157.73    8.58
 -7.1400   3892.94   6.27   161.18    8.63
 -6.7800   3894.01   6.22   160.80    8.74
 -6.4300   3889.80   5.95   165.79    8.47
 -6.0700   3896.05   5.94   165.39    8.03
 -5.7100   3876.54   6.12   184.97    8.25
 -5.3500   3886.01   5.75   191.06    7.22
 -5.0000   3886.53   5.63   188.06    7.24
 -4.6400   3884.53   5.19   179.17    6.81
 -4.2800   3877.70   4.87   178.69    6.33
 -3.9300   3878.65   4.47   191.66    5.44
 -3.5700   3872.04   4.22   195.68    5.30
 -3.2100   3870.38   4.17   188.92    5.33
 -2.8600   3864.88   3.61   181.81    4.99
 -2.5000   3853.80   3.61   206.51    4.37
 -2.1400   3840.41   3.27   205.74    4.01
 -1.7800   3824.57   3.01   210.64    3.76
 -1.4300   3804.51   2.90   220.66    3.56
 -1.0700   3783.00   2.73   229.07    3.44
 -0.7100   3748.93   2.74   241.38    3.24
 -0.3600   3720.91   2.69   234.33    3.50
  0.0000   3694.62   2.89   240.16    3.14
  0.3600   3662.44   2.69   223.32    3.45
  0.7100   3641.40   3.08   218.58    3.79
  1.0700   3627.87   3.12   203.36    4.18
  1.4300   3615.21   3.38   205.82    4.39
  1.7800   3601.99   3.66   196.27    4.99
  2.1400   3585.04   3.99   190.76    5.54
  2.5000   3579.96   4.31   188.94    5.80
  2.8600   3580.24   4.56   183.49    6.62
  3.2100   3568.60   4.84   187.91    7.13
  3.5700   3573.79   5.26   185.26    6.63
  3.9300   3575.06   5.49   182.72    7.11
  4.2800   3561.33   5.64   167.05    7.32
  4.6400   3567.11   5.96   173.42    7.92
  5.0000   3546.71   6.25   179.89    8.99
  5.3500   3557.83   6.51   168.60    9.31
  5.8900   3563.15   5.08   166.96    5.93
  6.6000   3584.14   6.28   139.68    7.97
  7.3200   3538.16   5.80   160.83    7.48
  8.0300   3540.69   6.30   157.78    8.77
  8.7500   3532.84   6.60   157.36    9.20
  9.6400   3534.39   5.43   144.30    8.29
 10.7100   3522.36   6.02   134.47    8.52
 11.9600   3531.55   5.72   132.20    8.08
 13.3900   3518.04   5.86   121.75    8.50
 14.9900   3510.38   6.03   115.13    8.80
 16.9600   3517.99   5.57   127.91    7.78
 19.1000   3520.97   6.11   113.91    8.59
 21.6000   3509.05   6.41   135.65    9.41
 24.8100   3505.18   5.89   119.07    8.34
 28.7400   3475.20   5.61   101.37    8.43
 33.7400   3475.17   4.90    78.93    7.92
 44.6200   3463.82   5.14    74.77    7.85
