# UGC 8963 = NGC 5440
# Zasov+2012
# PA = 320 deg; PA_maj = 46.1 deg (from Mendez-Abreu+2008)
# not corrected for V_sys
# inclination = 65.7 deg (NED) (q_b = 0.36 - Mendez-Abreu+2008)
# data ARE NOT corrected for inclination
# r        vel       d_vel   sig     d_sig
# "        km/s      km/s    km/s    km/s
#(1)       (2)       (3)     (4)     (5)
-15.3500   3612.62   6.86   110.67    9.66
-10.3500   3609.61   6.59   123.67    9.48
 -8.3900   3602.23   6.75   143.77   10.39
 -7.1400   3604.70   6.59   166.02    9.22
 -6.2500   3589.85   6.71   160.06    9.33
 -5.5300   3590.04   6.34   176.24    8.51
 -4.8200   3592.39   5.40   173.65    8.04
 -4.2800   3575.64   7.25   187.87   11.01
 -3.9300   3581.86   6.89   177.15    9.75
 -3.5700   3563.26   6.12   179.00    7.81
 -3.2100   3584.58   6.00   180.41    8.21
 -2.8600   3566.14   5.56   188.28    7.67
 -2.5000   3559.85   5.24   203.02    6.55
 -2.1400   3551.54   4.55   201.34    5.83
 -1.7800   3547.36   4.14   213.01    5.32
 -1.4300   3539.76   3.47   207.88    4.75
 -1.0700   3533.18   3.22   209.96    4.51
 -0.7100   3541.42   3.14   220.98    4.18
 -0.3600   3538.21   2.88   209.65    3.75
  0.0100   3536.88   3.05   215.49    3.95
  0.3600   3546.82   3.33   218.05    4.34
  0.7100   3554.78   3.62   211.71    4.80
  1.0700   3558.50   4.06   210.76    4.99
  1.4300   3565.60   4.38   200.44    5.54
  1.7800   3576.90   4.79   202.77    6.15
  2.1400   3580.11   5.25   193.73    7.24
  2.5000   3598.11   5.39   182.13    7.29
  2.8600   3592.86   5.71   169.68    7.81
  3.2100   3592.37   6.20   177.06    8.03
  3.5700   3582.90   7.27   190.07   10.52
  4.1100   3596.57   5.32   159.56    8.07
  4.8200   3601.49   6.33   163.88    9.18
  5.5300   3611.22   6.96   157.24   10.77
  6.4300   3612.96   6.23   136.09    8.99
  7.6800   3609.79   6.84   149.36   10.27
  9.4600   3617.07   6.79   128.51   10.22
 12.3200   3607.65   6.67   113.66    9.79
