# UGC 9133 = NGC 5533
# Courteau97 ionized gas
# PA = deg
# V_sys = km/s
# inclination = 55 deg (adopted by Courteau)
# data ARE NOT corrected for inclination
# r"      v_r   dv
-50.4   245.4  13.0
-31.9   206.2  11.6
-31.3   201.7  12.8
-30.6   233.8   9.3
-30.0   229.7  12.3
-29.3   250.2  11.7
-23.4   216.0  13.0
-22.7   223.1  12.8
-18.7   237.4  11.2
-18.1   235.9   6.5
-17.4   227.1   5.4
-16.8   219.6   5.0
-16.1   229.4   7.0
-15.4   244.9  10.5
-14.8   240.8  15.4
-13.5   244.4  14.0
-12.8   251.6  12.0
-12.1   201.5  10.2
-11.5   200.8  11.1
-10.8   182.6  10.5
 -9.5   232.0  14.0
 -8.8   203.8  13.2
 -0.9    59.0   5.4
 -0.3   -18.7   3.8
  0.4   -21.4   2.9
  1.1   -56.6   3.7
  1.7   -43.9   7.1
 10.3  -221.5  10.1
 11.0  -215.2  14.0
 11.6  -197.7   9.2
 12.3  -208.2   8.0
 12.9  -215.0  10.3
 13.6  -232.7   8.4
 14.3  -221.8   8.5
 14.9  -211.7   9.8
 15.6  -228.6  11.9
 16.2  -243.5   9.2
 21.5  -200.4  14.2
 22.2  -183.9  12.5
 22.8  -213.1   8.0
 23.5  -212.5   7.3
 24.2  -254.7   7.2
 24.8  -247.7   9.6
 27.5  -217.8  10.9
 28.1  -244.0  12.8
