#r [arcsec]	Vrot [km/s]	(error)
# m = -1
  6.4  -266  32
  8.1  -251  11
  9.9  -255   5
 11.9  -263   6
 14.1  -275   6
 16.3  -268   6
 18.4  -273   6
 20.7  -273   6
 22.6  -278   7
 24.6  -282   6
 26.1  -282   6
 28.0  -282   6
 30.0  -289   7
 31.8  -270   6
 33.4  -285   6
 35.1  -280   8
 37.2  -284   8
 41.2  -267   6
 46.4  -277   5
 51.2  -291   7
 55.8  -276   5
 60.7  -265   6
 65.0  -271   8
 67.7  -287   6
 70.1  -286   5
 71.7  -276   6
 73.3  -271   7
 75.1  -275   6
 77.1  -275   6
 78.9  -269   7
 81.5  -262   6
 84.7  -276   7
 87.0  -269   8
 89.7  -262   7
 94.1  -258   7
# m = -2
  7.9   250  13
 10.0   246   5
 11.9   246   6
 14.1   255   7
 16.5   270   7
 18.7   269   6
 20.7   265   5
 23.1   275   7
 25.9   272   5
 28.4   271   5
 30.7   275   5
 33.2   270   5
 35.8   286   7
 42.4   289   6
 48.8   282   4
 51.9   271   5
 55.3   293   6
 58.4   298   6
 60.7   293   6
 62.4   306   6
 63.8   286   7
 65.2   290   6
 66.4   281   7
 67.7   293   6
 68.8   284   7
 69.8   290   6
 71.0   291   5
 72.0   282   6
 73.2   285   4
 74.5   280   6
 75.5   277   8
 76.5   279   8
 77.5   280   7
 78.7   278   7
 79.6   278   9
 80.6   271   8
 81.8   279   4
 82.8   265   7
 84.0   277   7
 85.5   268   8
 87.8   270   7
 91.7   254  10
