# UGC 11914 = NGC 7217
# Silchenko+2011
# PA=81
# H_beta not H I
# corrected for V_sys
# inclination = 30 deg
# data are not corrected for inclination
# r"       v_r   dv
-95.9   -153.2   4.8
-72.0   -153.4   1.9
-62.6   -156.0   4.9
-55.1   -151.0  11.8
-49.7   -147.0   8.7
-46.0   -157.2  11.6
-42.8   -151.9  12.3
-39.6   -151.3   6.6
-36.9   -139.0   2.0
-34.8   -137.9   1.6
-32.6   -147.7   2.7
-30.5   -153.9   3.7
-28.4   -147.8   2.8
-26.8   -146.0   5.6
-25.7   -152.9   5.7
-24.6   -149.9   5.4
-23.6   -147.8   5.5
-22.5   -135.9  10.3
-21.4   -131.0  13.7
-20.3   -140.8  10.9
-19.3   -144.2  10.2
-18.2   -143.4   7.9
-17.1   -139.6   5.6
-16.1   -141.1   4.5
-15.0   -139.9   5.5
-13.9   -148.2   7.3
-12.9   -135.2   7.0
-11.8   -127.5   5.0
-10.7   -126.1   4.0
 -9.6   -129.2   4.0
 -8.6   -127.1   5.6
 -7.5   -107.5  11.1
 -6.4    -93.5  14.7
 -5.4    -62.6  12.3
 -4.3    -49.2  14.2
 -3.2    -46.9  12.0
 -2.1    -16.7  10.4
 -1.1     16.2   6.6
  0.0     20.1   4.6
  1.1     20.8   5.2
  2.1     25.7   7.0
  3.2     41.0   8.9
  4.3     68.7  12.5
  5.4     68.8  13.8
  6.4     47.2  13.5
  7.5     58.5  14.3
  8.6    102.2   9.2
  9.6    118.9   4.6
 10.7    125.2   3.1
 11.8    130.1   3.2
 12.9    135.3   4.3
 13.9    137.5   5.3
 15.0    133.1   7.8
 16.1    129.7   9.6
 17.1    125.4  10.6
 18.2    146.5   7.4
 19.3    146.2   6.3
 20.3    146.5   6.3
 21.4    146.7   6.8
 22.5    151.8   5.7
 23.6    149.3   5.6
 24.6    141.6   8.1
 25.7    143.3  12.2
 27.3    135.9  10.3
 29.4    142.6   4.7
 31.6    149.1   3.1
 33.7    153.1   2.2
 35.9    159.8   3.1
 38.0    152.4   6.2
 40.7    150.3   9.1
 43.9    151.2   8.0
 47.6    134.1   4.4
 51.9    142.9   3.1
 57.6    134.5   8.6
 66.5    147.7   5.1
 73.9    147.2   1.0
 83.6    139.2   2.1
