# UGC 11914 = NGC 7217
# Silchenko+2011
# PA=81
# SN15
# corrected for V_sys
# inclination = 30 deg
# data are not corrected for inclination
#  r"       v      dv      sig    dsig
 -95.9   -123.5   10.4   103.8   14.8
 -72.0   -111.0    6.1   105.8    8.6
 -62.6   -106.1    4.6   114.2    6.2
 -55.1   -100.3    4.4   134.8    5.7
 -49.7    -96.7    3.7   111.1    5.0
 -46.0   -108.9    3.8   107.5    5.3
 -42.8   -109.5    3.3   112.0    4.5
 -39.6   -104.2    3.2   114.4    4.4
 -36.9   -112.2    2.9    93.3    4.2
 -34.8   -112.5    2.9   104.0    4.1
 -32.6   -103.5    2.6   107.1    3.7
 -30.5   -110.3    2.3    99.9    3.3
 -28.4   -110.7    2.2    97.8    3.1
 -26.8    -98.4    2.8   106.2    4.0
 -25.7   -114.2    2.9    94.1    4.2
 -24.6   -116.0    2.9    96.8    4.2
 -23.6   -119.5    3.0    89.8    4.4
 -22.5   -103.6    3.2   116.7    4.3
 -21.4   -104.6    2.9   112.5    4.1
 -20.3    -96.0    2.8   116.1    4.0
 -19.3    -95.4    2.6   123.9    3.6
 -18.2    -95.3    2.6   115.4    3.6
 -17.1    -99.4    2.4   107.9    3.4
 -16.1   -100.1    2.3   113.3    3.3
 -15.0    -89.2    2.3   120.9    3.1
 -13.9    -91.2    2.3   120.5    3.1
 -12.9    -83.4    2.2   125.7    2.9
 -11.8    -84.1    2.1   120.8    2.8
 -10.7    -85.5    1.9   116.0    2.6
  -9.6    -81.7    1.8   119.6    2.5
  -8.6    -76.7    1.7   121.2    2.3
  -7.5    -67.5    1.7   128.8    2.2
  -6.4    -62.7    1.5   132.5    2.0
  -5.4    -54.5    1.3   130.4    1.7
  -4.3    -48.3    1.2   134.4    1.6
  -3.2    -37.7    1.1   136.4    1.5
  -2.1    -27.5    1.0   135.0    1.3
  -1.1    -13.2    0.8   129.3    1.1
   0.0      3.5    0.8   122.5    1.1
   1.1     18.5    0.8   125.4    1.0
   2.1     28.5    0.8   127.2    1.2
   3.2     40.7    0.9   130.2    1.2
   4.3     48.5    1.1   132.9    1.5
   5.4     59.5    1.1   127.0    1.5
   6.4     65.3    1.1   120.5    1.6
   7.5     71.4    1.3   120.4    1.8
   8.6     77.7    1.4   115.2    2.0
   9.6     83.1    1.4   103.7    2.1
  10.7     90.0    1.5   102.8    2.2
  11.8     90.0    1.7   106.5    2.4
  12.9     97.4    1.8   101.2    2.7
  13.9     95.9    2.0   100.5    2.9
  15.0     98.6    2.1   100.8    3.2
  16.1     97.3    2.2   101.9    3.2
  17.1     93.7    2.3   106.2    3.4
  18.2     99.2    2.5   115.2    3.6
  19.3    107.6    2.1    90.7    3.3
  20.3    107.7    2.3   100.3    3.4
  21.4    112.3    2.3    89.6    3.5
  22.5    113.4    2.2    83.0    3.4
  23.6    108.2    2.4    86.5    3.7
  24.6    115.2    2.2    72.2    3.6
  25.7    104.4    2.7    87.7    4.1
  27.3    110.8    2.1    84.8    3.3
  29.4    113.8    2.0    70.8    3.3
  31.6    113.3    2.2    78.5    3.5
  33.7    111.7    2.3    81.6    3.6
  35.9    111.1    2.5    72.3    4.0
  38.0    115.1    2.6    82.0    4.2
  40.7    107.3    3.0   101.5    4.4
  43.9    105.5    2.8    79.6    4.3
  47.6    103.6    3.1    86.9    4.7
  51.9     96.2    3.6    96.9    5.2
  57.6     96.3    4.4   104.4    6.3
  66.5    106.9    4.3    73.9    6.8
  73.9    114.1    4.9    84.2    7.5
  83.6    103.9    6.0    65.8    9.8
 102.4     83.3    9.9    75.3   15.6
