# UGC 624 = NGC 338
# Noordermeer+2007 ionized gas + HI
# PA = ?
# inclination =  64 deg (adopted by Noordermeer+2007)
# data are corrected for inclination
# WCRT
# r"     v_r   dv
  0      0.0   24
  1    159.0   42
  2    197.0   0.1
  4    248.5   0.1
  6    276.0   0.1
  8    290.0   0.1
 10    296.0   0.1
 12    295.0   0.1
 14    293.0   0.1
 16    293.0   0.1
 18    290.0   0.1
 20    290.0   0.1
 22    288.5   0.1
 24    290.0   0.1
 26    291.0   0.1
 28    293.0   0.1
 30    294.0   0.1
 32    296.0   0.1
 34    298.0   0.1
 36    299.0   0.1
 38    299.0   0.1
 40    298.0   0.1
 42    295.0   0.1
 46    292.0   0.1
 50    283.0    7
 60    268.5   12
 70    255.0   25
 80    275.0   25
 90    286.0   25
100    267.0   40
