#UGC 624 = NGC 338
#Zasov+2012
#PA=197
# inclination =  64 deg (adopted by Zasov)
# data are not corrected for inclination
#r,"    v_Hbeta  e_V  
-63.43  4521.94  10.4
-53.50  4509.53  7.97
-46.49  4502.28  2.98
-44.00  4499.88  2.11
-41.40  4501.38  2.31
-39.26  4507.40  2.50
-37.49  4507.59  2.19
-35.72  4507.80  2.56
-33.85  4504.69  2.14
-32.30  4503.29  1.89
-31.05  4504.94  1.84
-29.98  4507.06  1.62
-29.09  4511.52  1.75
-28.36  4512.51  1.56
-27.66  4515.74  1.40
-26.96  4516.84  1.35
-26.24  4517.83  1.36
-25.52  4519.36  1.51
-24.82  4519.33  1.58
-23.92  4521.89  1.31
-23.02  4524.38  1.62
-22.16  4525.41  1.42
-20.94  4522.60  1.49
-19.61  4523.69  1.88
-18.56  4520.34  2.06
-17.30  4517.76  1.77
-15.89  4519.35  1.49
-14.62  4519.08  1.50
-13.74  4517.81  1.67
-13.04  4518.92  1.60
-12.33  4519.21  1.49
-11.60  4521.43  1.56
-10.89  4522.96  1.46
-10.18  4524.72  1.51
-9.46  4530.92  1.58
-8.75  4536.74  1.61
-8.03  4542.55  1.70
-7.33  4546.66  1.68
-6.61  4550.09  1.57
-5.88  4553.74  1.58
-5.17  4561.08  1.72
-4.64  4568.09  2.38
-4.28  4573.27  2.51
-3.93  4581.19  2.99
-3.57  4594.14  3.31
-3.21  4605.26  3.33
-2.86  4618.12  3.88
-2.50  4630.56  4.15
-2.14  4649.84  4.42
-1.78  4664.08  4.91
-1.43  4687.73  5.11
-1.07  4705.52  5.35
-0.71  4721.29  5.48
-0.36  4734.03  5.91
0.00  4754.48  5.80
0.36  4781.66  5.62
0.71  4797.20  5.59
1.07  4806.02  5.16
1.43  4838.93  4.81
1.78  4848.91  4.66
2.14  4865.73  4.12
2.50  4884.49  3.49
2.86  4894.58  3.16
3.21  4906.21  2.94
3.57  4917.51  2.59
3.93  4923.39  2.53
4.47  4934.28  1.59
5.00  4943.33  2.03
5.35  4946.52  1.94
5.71  4948.75  1.95
6.25  4954.35  1.44
6.96  4957.22  1.55
7.67  4964.90  1.63
8.37  4973.04  1.70
9.12  4980.95  1.62
9.83  4988.63  1.59
10.53  4995.80  1.36
11.25  5000.92  1.22
11.96  5004.25  1.14
12.67  5008.87  1.13
13.38  5009.36  1.16
14.09  5009.10  1.30
14.79  5009.66  1.54
15.53  5011.38  1.81
16.42  5009.83  1.66
17.47  5010.28  1.77
18.60  5013.18  1.63
19.45  5012.59  1.75
20.16  5019.13  1.80
20.88  5016.46  1.77
21.74  5015.05  1.71
23.09  5010.93  2.21
25.49  5006.74  2.89
28.34  5005.88  2.67
32.09  4999.10  3.44
35.06  4975.25  3.04
37.16  4972.06  2.47
38.78  4978.22  2.45
40.02  4988.29  2.28
41.07  4990.40  1.68
41.95  4989.92  1.87
42.66  4990.20  1.99
43.52  4985.11  1.70
44.65  4987.50  1.85
45.67  4985.70  2.14
46.89  4988.51  2.25
48.70  4997.02  2.92
51.52  4990.23  4.77
56.68  4991.15  8.59
67.27  5023.58  55.7
