#UGC  624  =  NGC  338
#Zasov+2012
#PA=289;  PA_maj=108
#  inclination  =    64  deg  (adopted  by  Zasov)
#  data  are  not  corrected  for  inclination
#  r,"  vel,km/s  e_vel,km/s    sig,km/s    e_sig,km/s
-47.1200  4546.03  6.73  66.99  8.58
-41.5900  4532.15  6.67  66.60  8.18
-37.8400  4547.83  6.55  70.15  7.92
-34.6300  4552.93  5.93  57.21  7.06
-31.5900  4548.36  6.61  68.51  8.00
-29.2700  4563.54  6.71  64.59  8.54
-27.6700  4551.50  6.78  58.50  8.49
-26.4200  4556.57  6.81  60.27  8.32
-25.3500  4556.96  6.22  52.72  7.58
-24.2800  4539.16  6.72  72.18  7.82
-23.2000  4543.36  6.17  55.60  7.46
-22.1300  4548.42  6.11  59.30  6.85
-21.0600  4549.28  5.69  68.10  6.46
-20.1700  4547.00  6.59  65.12  7.60
-19.4600  4554.34  6.47  69.79  7.39
-18.7400  4546.31  6.27  66.64  7.21
-18.0300  4546.73  6.46  74.42  7.08
-17.3100  4538.82  5.85  70.65  6.34
-16.6000  4542.37  6.22  75.72  6.93
-15.8900  4538.49  5.74  71.28  6.37
-15.1700  4547.12  6.00  77.26  6.51
-14.4600  4535.64  5.21  70.64  5.61
-13.7400  4546.09  5.47  82.42  5.95
-13.0300  4535.96  5.10  79.36  5.18
-12.4900  4544.48  6.61  85.71  6.88
-12.1400  4544.74  6.65  81.84  6.97
-11.7800  4551.59  6.45  88.18  7.11
-11.4200  4561.41  6.89  114.59  7.53
-11.0700  4559.78  6.42  94.85  6.92
-10.7100  4554.01  5.98  90.78  6.43
-10.3500  4558.43  6.64  99.89  7.17
-10.0000  4562.33  6.48  111.50  7.00
-9.6400  4578.95  6.58  115.07  7.19
-9.2800  4577.50  5.97  101.60  6.53
-8.9200  4580.65  6.05  113.21  6.68
-8.5700  4581.70  6.14  118.94  6.86
-8.2100  4593.87  6.18  121.39  6.90
-7.8500  4594.31  5.85  118.09  6.50
-7.5000  4593.18  5.78  119.88  6.30
-7.1400  4593.81  5.56  115.29  6.16
-6.7800  4595.29  5.47  120.05  5.93
-6.4300  4595.14  5.41  121.56  5.75
-6.0700  4590.09  5.20  130.76  5.69
-5.7100  4597.33  4.99  141.08  5.59
-5.3500  4604.85  4.71  131.72  5.15
-5.0000  4609.44  4.42  131.67  4.81
-4.6400  4613.51  4.23  139.31  4.60
-4.2800  4622.20  4.09  141.40  4.54
-3.9300  4621.77  4.03  145.43  4.35
-3.5700  4632.49  3.74  146.99  4.14
-3.2100  4640.14  3.58  149.21  4.01
-2.8600  4644.61  3.42  142.81  3.73
-2.5000  4655.54  3.11  146.20  3.45
-2.1400  4668.70  3.00  149.87  3.27
-1.7800  4685.05  2.81  154.07  3.11
-1.4300  4693.78  2.64  158.61  2.93
-1.0700  4711.13  2.47  156.54  2.79
-0.7100  4729.81  2.36  160.32  2.65
-0.3600  4741.81  2.28  164.11  2.58
0.0000  4755.17  2.29  166.09  2.58
0.3600  4766.68  2.23  161.89  2.50
0.7100  4783.71  2.19  158.90  2.45
1.0700  4795.16  2.28  162.23  2.54
1.4300  4809.90  2.38  157.75  2.63
1.7800  4820.65  2.42  159.52  2.73
2.1400  4831.82  2.56  155.43  2.87
2.5000  4849.06  2.76  153.42  3.05
2.8600  4866.02  2.91  152.66  3.21
3.2100  4874.21  3.09  151.03  3.38
3.5700  4879.69  3.24  143.24  3.51
3.9300  4888.72  3.42  141.01  3.72
4.2800  4895.09  3.52  148.16  3.85
4.6400  4906.32  3.76  141.20  4.08
5.0000  4904.57  4.06  144.65  4.48
5.3500  4912.05  4.21  136.68  4.71
5.7100  4914.52  4.56  135.30  5.03
6.0700  4920.79  4.80  134.14  5.33
6.4300  4922.74  4.78  131.53  5.30
6.7800  4922.09  5.12  131.75  5.64
7.1400  4924.90  5.19  127.20  5.82
7.5000  4927.51  5.63  126.97  6.22
7.8500  4928.29  6.08  125.53  6.57
8.2100  4931.48  6.15  123.91  6.90
8.5700  4927.49  6.39  135.09  7.19
8.9200  4934.77  6.38  117.47  7.16
9.2800  4937.45  6.37  110.27  7.12
9.6400  4945.06  6.33  106.06  7.13
10.0000  4952.26  6.91  114.25  7.76
10.3500  4940.83  6.70  131.64  7.74
10.7100  4949.21  6.73  121.30  7.51
11.0700  4962.05  6.97  119.61  7.84
11.4200  4967.16  7.09  98.18  7.88
11.9600  4970.76  5.39  98.95  5.75
12.6700  4972.43  5.70  107.25  6.12
13.3900  4975.44  5.70  98.29  6.26
14.1000  4985.89  6.15  88.50  6.48
14.8200  4975.73  6.35  97.53  6.88
15.5300  4977.99  6.01  91.25  6.71
16.2400  4980.09  6.30  90.21  7.12
16.9600  4974.88  6.49  76.86  7.30
17.6700  4979.72  6.64  80.59  7.54
18.3900  4981.49  6.73  82.56  7.54
19.2800  4982.86  6.07  63.98  6.79
20.3500  4980.59  6.72  82.96  7.66
21.6000  4966.26  6.49  81.36  7.46
23.2000  4967.73  6.00  53.75  7.18
24.9900  4966.18  6.13  68.80  7.01
26.9500  4967.97  6.08  61.11  7.30
29.4500  4963.91  5.90  65.88  6.94
32.3100  4969.10  6.04  66.73  6.88
35.8800  4961.82  6.32  70.25  7.56
40.3400  4987.54  6.80  50.88  9.68
45.7000  4985.16  7.22  58.23  9.14
