#UGC  624  =  NGC  338
#Zasov+2012
#PA=197
#  inclination  =    64  deg  (adopted  by  Zasov)
#  data  are  not  corrected  for  inclination
#  r,"    vel,km/s      e_vel,km/s    sig,km/s    e_sig,km/s
-14.6400  4777.04  7.48  108.78  11.06
-11.7800  4781.13  7.12  102.35  10.22
-10.1700  4776.72  6.95  98.42  10.42
-8.9200  4791.83  6.66  114.11  8.72
-8.0300  4785.54  6.96  109.47  10.15
-7.3200  4787.97  6.46  107.78  8.50
-6.6000  4780.05  5.59  104.46  7.68
-6.0700  4780.63  6.74  111.99  9.90
-5.7100  4777.58  6.58  110.97  9.71
-5.3500  4787.54  6.48  118.71  9.40
-5.0000  4797.15  5.74  102.67  8.94
-4.6400  4786.95  5.22  116.68  7.48
-4.2800  4785.10  5.12  120.81  7.18
-3.9300  4787.52  4.75  113.56  7.20
-3.5700  4794.41  4.59  111.89  7.61
-3.2100  4789.31  4.32  114.08  6.70
-2.8600  4794.26  4.06  118.13  6.32
-2.5000  4787.78  3.82  119.09  6.23
-2.1400  4793.02  3.71  138.20  5.86
-1.7800  4792.43  3.34  142.55  4.86
-1.4300  4791.40  3.16  152.37  4.77
-1.0700  4790.37  2.85  146.14  4.58
-0.7100  4790.65  2.53  134.48  4.29
-0.3600  4793.05  2.28  133.32  3.85
0.0000  4791.58  2.03  133.29  3.36
0.3600  4792.94  1.78  135.52  2.93
0.7100  4796.37  1.60  133.53  2.66
1.0700  4799.14  1.46  134.46  2.29
1.4300  4799.09  1.36  134.92  2.04
1.7800  4797.88  1.38  138.30  1.97
2.1400  4795.81  1.52  137.20  2.21
2.5000  4795.37  1.81  135.32  2.78
2.8600  4794.28  2.26  137.92  3.57
3.2100  4791.62  2.80  123.13  4.73
3.5700  4789.08  3.46  125.74  5.70
3.9300  4787.19  3.99  119.81  6.84
4.2800  4786.67  4.51  122.94  6.89
4.6400  4779.55  5.26  126.85  7.86
5.0000  4776.97  5.87  110.36  8.53
5.3500  4783.70  6.60  109.14  10.09
5.7100  4772.30  6.52  107.71  10.15
6.0700  4772.31  7.27  99.33  11.19
6.4300  4774.15  7.59  91.90  10.59
6.7800  4777.47  8.06  98.70  12.23
7.3200  4781.51  7.57  82.43  10.15
8.0300  4775.00  7.91  96.62  12.11
8.7500  4784.12  7.76  90.70  12.27
9.4600  4776.26  8.06  96.37  12.27
10.3500  4784.79  8.28  113.90  12.06
11.6000  4788.67  9.12  112.59  12.53
13.9200  4780.03  9.87  86.20  11.74
18.7400  4767.32  9.23  87.70  10.28
