# UGC 624 = NGC 338
# Courteau97 ionized gas
# PA = ?
# inclination =  68 deg (adopted by Courteau)
# data are not corrected for inclination
# r"       v_r   dv
-43.6   -305.7  15.6
-43.0   -235.8  12.3
-42.3   -286.4  11.6
-41.6   -249.0  10.4
-41.0   -253.9   9.1
-40.3   -257.9  10.6
-39.7   -262.8   9.3
-39.0   -314.0  12.1
-37.7   -271.4  11.4
-37.0   -285.1  13.3
-36.4   -273.3   6.4
-35.7   -270.0   5.6
-35.0   -278.3   6.7
-34.4   -305.9  12.6
-32.4   -297.5  14.3
-31.7   -279.6  10.9
-31.1   -288.4   7.4
-30.4   -280.9   6.7
-29.8   -280.8   6.0
-29.1   -277.6   4.9
-28.4   -267.2   4.4
-27.8   -256.0   4.2
-27.1   -246.1   4.2
-26.5   -221.5   3.3
-25.8   -224.2   2.4
-25.1   -221.1   2.1
-24.5   -219.7   2.4
-23.8   -228.4   2.8
-23.2   -247.3   3.8
-22.5   -250.0   3.8
-21.8   -253.8   3.6
-21.2   -267.8   3.7
-20.5   -252.7   4.0
-19.9   -247.9   4.7
-19.2   -238.1   4.9
-18.5   -225.5   5.5
-17.9   -230.3   5.4
-17.2   -213.6   5.4
-16.6   -246.3   5.9
-15.9   -236.3   5.3
-15.2   -255.2   4.3
-14.6   -255.7   4.0
-13.9   -254.0   3.2
-13.3   -265.2   3.6
-12.6   -232.4   2.7
-11.9   -238.9   2.5
-11.3   -239.4   2.5
-10.6   -233.4   2.4
-10.0   -234.8   2.3
 -9.3   -234.4   2.1
 -8.6   -232.3   2.2
 -8.0   -223.6   2.5
 -7.3   -223.8   2.7
 -6.7   -229.1   2.5
 -6.0   -219.9   2.2
 -5.3   -224.9   2.0
 -4.7   -216.6   1.9
 -4.0   -218.2   1.8
 -3.4   -206.0   1.8
 -2.7   -181.5   2.1
 -2.0   -154.1   2.4
 -1.4   -111.4   3.0
 -0.7    -86.0   3.4
 -0.1    -48.6   4.7
  0.6    -14.3   3.8
  1.3     46.6   3.9
  1.9     72.4   3.8
  2.6    117.7   3.1
  3.2    159.1   2.3
  3.9    176.8   2.0
  4.6    195.8   1.7
  5.2    209.1   1.5
  5.9    217.4   1.5
  6.5    224.5   1.5
  7.2    227.8   1.8
  7.9    227.4   2.3
  8.5    232.4   2.8
  9.2    239.5   2.9
  9.8    242.7   2.6
 10.5    245.6   2.5
 11.2    247.5   2.3
 11.8    256.8   1.9
 12.5    263.7   1.6
 13.1    271.7   1.5
 13.8    273.6   1.6
 14.5    282.3   2.0
 15.1    274.3   2.5
 15.8    270.5   3.4
 16.4    265.5   4.6
 17.1    268.0   4.5
 17.8    289.1   5.1
 18.4    293.6   5.0
 19.1    277.9   4.3
 19.7    277.9   3.5
 20.4    281.2   2.8
 21.1    289.3   3.1
 21.7    284.4   3.5
 22.4    274.6   5.6
 23.0    279.3   8.4
 24.4    296.0  13.8
 26.3    281.6  10.4
 27.7    232.7  13.9
 28.3    266.9  11.7
 29.0    261.2  15.6
 35.6    249.7  13.0
 36.2    228.0  12.0
 36.9    184.7  14.1
 38.2    207.0  14.9
 38.9    239.6  10.4
 39.5    238.3   8.7
 40.2    251.1   4.5
 40.9    244.2   3.4
 41.5    248.8   3.6
 42.2    245.3   4.2
 42.8    234.6   5.3
 43.5    242.6   5.7
 44.2    252.7   6.0
 44.8    251.9   7.3
 45.5    237.8   6.6
 46.1    223.1   6.6
 46.8    221.2   9.3
 47.5    239.1  12.8
