#UGC 624 = NGC 338
#Zasov+2012
#PA=197
# inclination =  64 deg (adopted by Zasov)
# data are not corrected for inclination
#      r,"      v_Hbeta      e_V         max_Hb     e_max        sig_Hb     e_sig       v_OIII      e_v        max_OIII_1    e_max       sig_OIII    e_sig   [OIII]/Hbeta  e_oiii_hb        S/N
    -63.43     4521.94    1.04E+01       38.11    9.17E+00       54.96    1.54E+01     4497.37    1.15E+01       13.83    5.16E+00       44.68    1.90E+01       -0.10    2.93E-01        5.09
    -53.50     4509.53    7.97E+00       63.40   -0.00E+00       30.79    2.62E+00     4481.27    9.92E+00       44.95   -0.00E+00        8.89    2.01E+00       -0.26    1.05E-01        4.85
    -46.49     4502.28    2.98E+00      329.65   -0.00E+00       33.63    1.09E+00     4513.50    6.28E+00       84.51    7.48E+01       19.84    1.83E+01       -0.39    5.55E-01       15.49
    -44.00     4499.88    2.11E+00      569.21   -0.00E+00       32.61    7.67E-01     4508.98    4.59E+00       99.56    2.95E+01       30.00    9.61E+00       -0.36    1.90E-01       20.37
    -41.40     4501.38    2.31E+00      502.70   -0.00E+00       34.40    8.71E-01     4500.53    4.43E+00      220.75   -0.00E+00       11.96    6.03E-01       -0.38    2.45E-02       20.72
    -39.26     4507.40    2.50E+00      565.17   -0.00E+00       34.39    9.48E-01     4524.97    4.40E+00      294.62    3.70E+02       12.30    1.59E+01       -0.30    7.83E-01       17.96
    -37.49     4507.59    2.19E+00      646.70   -0.00E+00       35.44    8.57E-01     4514.45    3.46E+00      355.25   -0.00E+00       11.86    4.74E-01       -0.30    2.03E-02       21.37
    -35.72     4507.80    2.56E+00      551.91   -0.00E+00       34.05    9.63E-01     4512.05    4.52E+00      164.05    9.47E+01       20.91    1.26E+01       -0.31    3.63E-01       21.25
    -33.85     4504.69    2.14E+00      674.84   -0.00E+00       34.41    8.19E-01     4517.87    4.56E+00      144.87    6.35E+01       24.27    1.13E+01       -0.39    2.77E-01       23.87
    -32.30     4503.29    1.89E+00      903.91   -0.00E+00       34.11    7.25E-01     4501.28    4.22E+00      145.41    3.41E+01       32.61    8.33E+00       -0.38    1.51E-01       25.34
    -31.05     4504.94    1.84E+00     1135.21   -0.00E+00       33.40    7.00E-01     4501.81    4.57E+00      181.35    6.61E+01       26.73    1.04E+01       -0.46    2.32E-01       23.72
    -29.98     4507.06    1.62E+00     1300.96   -0.00E+00       34.78    6.41E-01     4508.01    4.11E+00      211.36    7.32E+01       26.09    9.61E+00       -0.48    2.20E-01       29.91
    -29.09     4511.52    1.75E+00     1583.74   -0.00E+00       33.59    6.76E-01     4507.69    4.68E+00      159.69    2.01E+01       50.13    7.18E+00       -0.39    8.33E-02       29.78
    -28.36     4512.51    1.56E+00     1930.05   -0.00E+00       31.93    5.82E-01     4506.85    3.83E+00      267.57    6.34E+01       30.78    7.86E+00       -0.44    1.51E-01       25.24
    -27.66     4515.74    1.40E+00     2208.52   -0.00E+00       32.72    5.36E-01     4518.16    3.22E+00      428.91    1.61E+02       21.89    8.60E+00       -0.45    2.36E-01       27.38
    -26.96     4516.84    1.35E+00     2383.18   -0.00E+00       32.31    5.10E-01     4522.89    2.98E+00      696.65    5.59E+02       14.18    1.16E+01       -0.46    4.98E-01       28.12
    -26.24     4517.83    1.36E+00     2364.34   -0.00E+00       32.65    5.20E-01     4523.07    3.42E+00      362.35    1.05E+02       25.99    7.98E+00       -0.48    1.83E-01       28.32
    -25.52     4519.36    1.51E+00     2017.13   -0.00E+00       34.96    6.04E-01     4530.24    3.80E+00      779.38   -0.00E+00       10.79    4.79E-01       -0.49    2.07E-02       23.22
    -24.82     4519.33    1.58E+00     1954.52   -0.00E+00       33.83    6.13E-01     4520.79    4.31E+00      339.82    1.85E+02       21.04    1.20E+01       -0.53    3.43E-01       29.17
    -23.92     4521.89    1.31E+00     1977.19   -0.00E+00       32.82    4.95E-01     4537.02    3.72E+00      295.25    1.09E+02       23.91    9.29E+00       -0.53    2.32E-01       26.99
    -23.02     4524.38    1.62E+00     1897.62   -0.00E+00       33.98    6.32E-01     4526.84    4.52E+00      536.57   -0.00E+00       12.52    6.50E-01       -0.55    2.40E-02       26.99
    -22.16     4525.41    1.42E+00     1802.58   -0.00E+00       32.94    5.34E-01     4532.38    4.52E+00      208.07    6.23E+01       29.66    9.61E+00       -0.55    1.92E-01       28.24
    -20.94     4522.60    1.49E+00     1390.40   -0.00E+00       34.75    5.83E-01     4534.99    4.29E+00      250.43    1.38E+02       20.84    1.20E+01       -0.53    3.46E-01       27.17
    -19.61     4523.69    1.88E+00     1271.07   -0.00E+00       34.08    7.19E-01     4537.79    6.61E+00      121.74    3.44E+01       37.74    1.19E+01       -0.54    1.84E-01       25.34
    -18.56     4520.34    2.06E+00     1095.27   -0.00E+00       36.48    8.30E-01     4524.72    7.62E+00       96.87    2.45E+01       43.90    1.26E+01       -0.54    1.66E-01       23.16
    -17.30     4517.76    1.77E+00     1167.67   -0.00E+00       34.18    6.75E-01     4539.37    6.26E+00      116.72    3.51E+01       35.38    1.18E+01       -0.55    1.95E-01       25.52
    -15.89     4519.35    1.49E+00     1386.13   -0.00E+00       37.91    6.22E-01     4563.76   -0.00E+00       46.20   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       31.28
    -14.62     4519.08    1.50E+00     1734.09   -0.00E+00       36.40    6.10E-01     4542.04    6.39E+00      141.91    4.21E+01       36.16    1.19E+01       -0.66    1.92E-01       29.69
    -13.74     4517.81    1.67E+00     1987.21   -0.00E+00       37.00    6.88E-01     4533.36    8.08E+00      117.29    2.08E+01       56.15    1.17E+01       -0.61    1.19E-01       31.79
    -13.04     4518.92    1.60E+00     2189.15   -0.00E+00       36.06    6.44E-01     4527.04    7.04E+00      167.97    5.33E+01       36.86    1.30E+01       -0.67    2.06E-01       29.54
    -12.33     4519.21    1.49E+00     2421.13   -0.00E+00       35.79    5.97E-01     4532.63    6.34E+00      621.50   -0.00E+00        9.28    9.66E-01       -0.74    4.58E-02       32.05
    -11.60     4521.43    1.56E+00     2357.95   -0.00E+00       35.45    6.21E-01     4533.34    7.47E+00      141.01    2.72E+01       51.04    1.14E+01       -0.63    1.28E-01       31.09
    -10.89     4522.96    1.46E+00     2665.30   -0.00E+00       33.51    5.57E-01     4537.46    7.33E+00      137.08    1.89E+01       62.41    1.01E+01       -0.59    9.29E-02       30.44
    -10.18     4524.72    1.51E+00     2515.94   -0.00E+00       35.57    6.02E-01     4542.21    9.36E+00      104.50    1.42E+01       73.93    1.21E+01       -0.63    9.25E-02       36.71
     -9.46     4530.92    1.58E+00     2391.78    1.76E+02       36.04    2.86E+00     4544.67    8.39E+00      118.73    1.59E+01       69.74    1.12E+01       -0.58    1.02E-01       35.31
     -8.75     4536.74    1.61E+00     2308.44   -0.00E+00       37.00    6.58E-01     4548.93    8.47E+00      118.24    1.50E+01       72.57    1.10E+01       -0.57    8.62E-02       29.20
     -8.03     4542.55    1.70E+00     2307.62   -0.00E+00       36.94    6.95E-01     4578.14    7.32E+00      144.96    2.00E+01       62.03    1.01E+01       -0.54    9.33E-02       28.94
     -7.33     4546.66    1.68E+00     2059.47    1.07E+02       46.19    2.64E+00     4576.46    7.71E+00      140.30    1.86E+01       65.91    1.04E+01       -0.58    9.56E-02       30.24
     -6.61     4550.09    1.57E+00     2547.95    1.71E+02       38.06    2.77E+00     4540.87   -0.00E+00       81.67   -0.00E+00        0.00   -0.00E+00   -Infinity        -NaN       33.32
     -5.88     4553.74    1.58E+00     2616.26    1.61E+02       40.03    2.70E+00     4580.13    5.95E+00      205.39    2.29E+01       62.54    8.22E+00       -0.48    8.47E-02       32.32
     -5.17     4561.08    1.72E+00     2237.35    1.01E+02       51.02    2.56E+00     4600.85    6.31E+00      200.21    1.74E+01       77.08    8.01E+00       -0.44    6.58E-02       26.74
     -4.64     4568.09    2.38E+00     2489.56    1.70E+02       48.06    3.66E+00     4607.09    8.13E+00      230.14    2.40E+01       81.32    1.01E+01       -0.37    8.34E-02       23.02
     -4.28     4573.27    2.51E+00     2265.04    1.30E+02       55.41    3.60E+00     4623.04    9.21E+00      209.92    1.81E+01      103.70    1.06E+01       -0.33    6.93E-02       22.48
     -3.93     4581.19    2.99E+00     1913.86    1.22E+02       58.09    4.22E+00     4617.56    8.52E+00      235.78    2.03E+01       96.89    9.98E+00       -0.25    7.18E-02       20.24
     -3.57     4594.14    3.31E+00     1703.05    9.24E+01       68.95    4.33E+00     4631.05    8.64E+00      240.85    2.06E+01       98.86    1.01E+01       -0.26    6.82E-02       20.32
     -3.21     4605.26    3.33E+00     1756.70    9.54E+01       69.00    4.35E+00     4637.26    9.06E+00      238.34    2.14E+01       98.97    1.06E+01       -0.28    7.07E-02       17.91
     -2.86     4618.12    3.88E+00     1542.55    9.01E+01       72.68    4.98E+00     4652.28    7.28E+00      313.30    2.92E+01       81.27    9.05E+00       -0.21    7.42E-02       16.31
     -2.50     4630.56    4.15E+00     1491.50    9.23E+01       73.45    5.35E+00     4671.60    6.92E+00      346.10    2.96E+01       83.26    8.49E+00       -0.15    7.11E-02       15.17
     -2.14     4649.84    4.42E+00     1484.64    1.06E+02       69.39    5.88E+00     4688.52    6.80E+00      366.42    2.53E+01       96.91    8.00E+00       -0.03    6.71E-02       14.38
     -1.78     4664.08    4.91E+00     1364.77    8.79E+01       79.89    6.14E+00     4717.34    7.08E+00      373.40    2.15E+01      116.68    7.98E+00        0.03    5.83E-02       14.40
     -1.43     4687.73    5.11E+00     1369.78    9.77E+01       76.51    6.49E+00     4715.79    6.78E+00      416.59    2.09E+01      126.22    7.50E+00        0.13    5.88E-02       13.41
     -1.07     4705.52    5.35E+00     1351.39    1.03E+02       75.68    6.85E+00     4730.11    6.39E+00      456.14    2.28E+01      119.93    7.12E+00        0.16    6.15E-02       12.79
     -0.71     4721.29    5.48E+00     1337.51    8.95E+01       84.27    6.75E+00     4749.13    6.26E+00      480.53    2.17E+01      128.82    6.87E+00        0.17    5.45E-02       12.77
     -0.36     4734.03    5.91E+00     1252.96    8.45E+01       88.65    7.17E+00     4751.20    5.83E+00      517.34    2.51E+01      113.77    6.55E+00        0.16    5.62E-02       12.98
      0.00     4754.48    5.80E+00     1303.98    1.07E+02       75.42    7.42E+00     4757.10    6.21E+00      499.74    2.20E+01      130.88    6.80E+00        0.26    6.30E-02       10.92
      0.36     4781.66    5.62E+00     1333.21    9.99E+01       78.95    7.09E+00     4762.76    5.90E+00      518.61    2.36E+01      121.91    6.57E+00        0.21    5.93E-02       10.71
      0.71     4797.20    5.59E+00     1318.84    9.13E+01       83.16    6.90E+00     4775.82    6.42E+00      465.83    2.34E+01      119.77    7.17E+00        0.14    5.79E-02       10.84
      1.07     4806.02    5.16E+00     1413.88    1.04E+02       75.04    6.58E+00     4791.81    7.44E+00      401.31    2.01E+01      135.82    8.09E+00        0.14    6.01E-02       12.59
      1.43     4838.93    4.81E+00     1486.40    1.07E+02       72.49    6.22E+00     4812.00    7.45E+00      386.30    2.00E+01      132.66    8.14E+00        0.11    5.99E-02       14.29
      1.78     4848.91    4.66E+00     1466.39    9.21E+01       78.53    5.86E+00     4823.33    7.57E+00      359.35    2.17E+01      117.88    8.49E+00       -0.00    5.88E-02       16.09
      2.14     4865.73    4.12E+00     1623.56    1.00E+02       72.76    5.31E+00     4831.99    7.61E+00      338.99    2.33E+01      106.48    8.75E+00       -0.08    6.23E-02       14.90
      2.50     4884.49    3.49E+00     1946.42    1.33E+02       60.71    4.83E+00     4856.81    7.92E+00      312.79    2.22E+01      107.11    9.10E+00       -0.11    6.62E-02       15.85
      2.86     4894.58    3.16E+00     2055.67    1.19E+02       63.65    4.27E+00     4873.10    8.18E+00      289.31    2.46E+01       94.83    9.69E+00       -0.25    6.94E-02       21.22
      3.21     4906.21    2.94E+00     2143.35    1.14E+02       64.07    3.95E+00     4898.66    8.17E+00      278.35    2.70E+01       85.92    9.99E+00       -0.33    7.47E-02       17.30
      3.57     4917.51    2.59E+00     2478.24    1.47E+02       55.31    3.74E+00     4907.48    7.77E+00      286.11    3.21E+01       74.38    9.97E+00       -0.38    8.54E-02       27.41
      3.93     4923.39    2.53E+00     2493.36    1.53E+02       53.49    3.71E+00     4909.38    8.55E+00      245.46    2.23E+01       93.21    1.02E+01       -0.33    7.36E-02       26.00
      4.47     4934.28    1.59E+00     2870.51    1.38E+02       46.56    2.49E+00     4913.59    6.08E+00      234.08    1.86E+01       79.67    7.60E+00       -0.42    6.23E-02       28.77
