# UGC 11914 = NGC 7217
# Silchenko+2011
# PA=
# SN15
# corrected for V_sys
# inclination = 30 deg
# data are not corrected for inclination
#  r"       v      dv      sig    dsig
 -85.4    -40.2   16.4   167.1   20.2
 -59.4    -19.0    6.2   113.8    8.6
 -45.8    -11.8    3.9    91.9    5.8
 -37.8    -10.0    3.2    93.4    4.6
 -32.6     -4.8    3.3   111.2    4.5
 -28.9     -8.6    2.9   101.6    4.1
 -25.6     -8.6    2.5    99.1    3.7
 -23.0     -5.7    2.7   101.2    3.9
 -20.9     -8.8    2.7   106.1    3.8
 -18.7     -7.0    2.4   113.3    3.4
 -16.6     -6.8    2.1    97.9    3.1
 -15.0    -15.3    2.5    94.7    3.8
 -13.9    -11.6    2.6    93.6    3.8
 -12.9     -2.5    2.3   100.2    3.3
 -11.8     -2.7    2.1    97.8    3.1
 -10.7     -1.9    2.1   105.0    3.1
  -9.6     -4.3    1.9    98.8    2.8
  -8.6     -3.2    1.9   103.7    2.8
  -7.5     -2.7    1.8   113.7    2.5
  -6.4     -2.6    1.7   120.0    2.4
  -5.4     -1.6    1.6   128.9    2.2
  -4.3      1.5    1.5   132.9    2.0
  -3.2      1.1    1.3   132.3    1.8
  -2.1     -0.7    1.2   134.2    1.6
  -1.1      1.0    1.0   128.5    1.4
   0.0      1.5    1.0   126.7    1.3
   1.1      2.7    1.1   126.9    1.4
   2.1      2.1    1.2   130.3    1.6
   3.2      2.4    1.3   128.0    1.8
   4.3      2.6    1.4   121.2    2.0
   5.4      5.1    1.6   117.0    2.2
   6.4      4.8    1.7   111.7    2.4
   7.5      1.5    1.8   108.6    2.6
   8.6      5.9    1.9   106.3    2.7
   9.6     -0.1    2.0   103.5    3.0
  10.7      3.0    2.3   103.6    3.4
  11.8      2.0    2.3    96.9    3.5
  12.9      2.5    2.3    91.9    3.5
  14.4      5.7    2.0    93.2    3.0
  16.6      3.2    2.1    98.8    3.1
  18.7      4.0    2.3    87.7    3.5
  20.9      0.1    2.8   104.4    4.1
  23.5     -3.2    2.7    95.0    4.1
  26.8      0.3    2.9    80.4    4.5
  30.5     -0.7    2.6    88.2    4.0
  35.2     -1.7    3.4   102.7    4.9
  42.5      0.8    4.4   111.4    6.2
  56.6      8.8    6.0   104.0    8.6
  80.7    -12.9   17.1   164.0   21.7
