# UGC 3546 = NGC 2273
# Noordermeer+2007 ionized gas + HI
# PA = 56 deg
# V_sys = 1837 km/s
# inclination =  55 pm deg (adopted by Noordermeer+2007)
# data are corrected for inclination
# r"   v_r    dv
  4.5  265.5  73.4
  5.7  261.6  55.4
  6.8  241.8  42.9
  8.1  233.9  10.0
  9.1  228.2  10.0
 10.0  224.9  10.0
 11.3  222.6  10.0
 13.6  220.9  10.0
 14.8  220.3  10.0
 16.0  220.9  10.0
 17.0  221.5  10.0
 20.0  221.5  10.0
 20.4  221.5  10.0
 21.7  219.8  23.4
 30.0  202.5  10.0
 40.0  189.8  10.0
 50.0  189.8  10.0
 60.0  197.7  10.0
 70.0  203.4  10.0
 80.0  203.4  10.0
 90.0  201.7  10.0
100.0  202.2  10.0
110.0  202.2  10.0
120.0  198.9  10.0
130.0  195.5  10.0
140.0  194.3  10.0
150.0  192.1  10.0
165.0  189.8  10.0
180.0  191.0  14.7
210.0  192.1  18.6
