# UGC 3546 = NGC 2273
# Zasov+08
# PA = 58 deg
# not corrected for V_sys
# inclination = 55 deg (adopted by Noordermeer+2007)
# data ARE NOT corrected for inclination
# SSBS_FUL: Cross correlation with star HD73471.ln
# Original spectra:n2273ma.ln
#  r"      v     dv  sig(TD)  dsig
 -94.0  2032.5  14.5   21.0  50.0
 -81.7  2018.7  10.5   15.4  43.8
 -71.6  2028.6   5.7    0.0  35.0
 -64.1  2014.7   6.9   52.7  15.9
 -58.0  1998.4   6.7   26.9  25.5
 -52.9  2026.5   8.0   53.1  18.1
 -48.6  2021.5   6.2    0.0  36.8
 -44.6  2006.3   7.8   58.8  16.3
 -41.4  2006.3   6.8   36.7  20.8
 -38.5  2007.3  12.1   65.7  23.2
 -35.6  1998.1   8.1   79.0  13.8
 -33.1  1986.4   9.1   96.3  13.7
 -31.0  2000.7   6.8   61.2  13.8
 -28.8  1992.3   5.9   65.6  11.5
 -26.6  1981.2   5.1   71.4   9.5
 -24.8  1997.3   6.0   76.5  10.4
 -23.4  1996.9   4.8   67.1   9.2
 -22.0  1990.8   4.9   75.1   8.6
 -20.5  1998.3   3.7   72.6   6.6
 -19.1  1993.6   6.0   86.7   9.6
 -17.6  1991.1   4.6   88.2   7.4
 -16.2  1976.6   4.5  100.3   6.7
 -14.8  1961.7   5.5  120.3   7.5
 -13.3  1947.6   5.8  125.2   7.7
 -11.9  1927.5   5.3  129.3   6.9
 -10.8  1923.6   5.1  129.3   6.7
 -10.1  1912.9   5.5  140.5   7.0
  -9.4  1913.8   5.2  136.5   6.7
  -8.6  1911.8   5.1  129.1   6.8
  -7.9  1910.9   5.1  137.8   6.6
  -7.2  1910.3   5.4  133.1   7.0
  -6.5  1903.3   4.5  127.8   5.9
  -5.8  1901.7   4.6  131.2   6.1
  -5.0  1904.0   4.5  126.2   5.9
  -4.3  1902.2   5.7  124.7   7.6
  -3.6  1897.9   4.5  129.2   5.9
  -2.9  1901.6   4.9  121.2   6.6
  -2.2  1896.7   6.1  122.4   8.2
  -1.4  1887.6   7.0  119.2   9.5
  -0.7  1876.8   7.2  119.4   9.8
   0.0  1866.6   7.6  116.2  10.5
   0.7  1853.1   7.7  120.1  10.4
   1.4  1839.7   7.2  125.8   9.6
   2.2  1823.9   7.0  128.4   9.2
   2.9  1813.7   5.3  128.8   7.0
   3.6  1798.9   5.7  135.0   7.3
   4.3  1795.9   4.0  130.4   5.2
   5.0  1793.4   4.1  132.0   5.4
   5.8  1790.9   4.0  129.6   5.2
   6.5  1783.8   3.9  124.1   5.2
   7.2  1781.9   5.1  132.5   6.7
   7.9  1781.5   5.2  126.5   6.9
   8.6  1777.7   4.9  132.5   6.3
   9.4  1776.8   4.9  123.1   6.5
  10.1  1770.3   6.1  129.3   8.0
  10.8  1765.7   5.3  124.3   7.0
  11.9  1759.3   6.4  134.6   8.2
  13.3  1750.3   5.9  120.6   7.9
  14.8  1737.3   6.7  116.7   9.2
  16.2  1726.7   4.7   99.5   7.0
  17.6  1714.3   6.2   98.5   9.3
  19.1  1691.2   5.0   81.3   8.5
  20.5  1692.5   4.3   61.5   8.7
  22.0  1693.6   4.6   64.3   9.2
  23.4  1691.3   5.8   59.9  12.2
  24.8  1693.8   4.5   48.4  11.2
  26.6  1688.9   5.0   62.1  10.2
  28.8  1702.0   5.6   77.4   9.6
  31.0  1697.5   6.4   69.6  12.0
  33.1  1690.9   8.2   67.7  15.5
  35.6  1692.8   7.9   62.2  15.9
  38.5  1681.2   7.4   36.6  22.3
  41.4  1694.2  10.4    0.0  47.4
  44.6  1649.3   8.8   43.8  23.1
  48.6  1665.0  15.3   65.8  29.1
  52.9  1671.4  11.3    0.0  46.3
  58.0  1687.9  13.4   69.5  24.7
  64.1  1684.6  11.4   58.7  23.8
  71.6  1653.6  12.7   59.1  26.2
  81.7  1683.5  15.5    0.0  53.7
