# UGC 5253 = NGC 2985
# Noordermeer+2007 ionized gas + HI
# PA =  deg
# inclination =  37 deg (adopted by Noordermeer+2007)
# data are corrected for inclination
# r"    v_r     dv
  0     0   0.1
  5   236   0.1
 10   238   0.1
 15   242   0.1
 20   245   0.1
 25   245   0.1
 30   246   0.1
 35   247   0.1
 40   248   0.1
 45   247   0.1
 50   247   0.1
 55   247   0.1
 60   246   0.1
 65   245   0.1
 70   245   0.1
 75   241    3
 90   243    3
105   248    3
120   247    3
135   242    3
150   244    3
165   246    3
180   246    3
195   243    5
210   244    5
240   241   10
270   240   17
300   232   18
330   220   12
360   212    7
390   209    3
420   212    3
450   212    3
480   219    3
