#UGC 5253 = NGC 2985
#N08
#PA=
#reff v    dv     reff sig   ds    reff sig    ds   reff  sig   ds
#"                "    major       "    inter        "    minor
 1.3  30.2  8.6    1.3 141.5  2.0   1.3 141.5  2.0    1.3 141.5 2.0
 3.8 102.4  8.3    4.7 136.1  2.3   3.2 139.3  1.5    4.5 133.9 2.5
 8.1 182.2  8.5    8.9 126.3  3.3   7.5 127.8  2.5    8.2 117.5 1.8
13.8 163.4 13.3   14.4 108.4  3.4  13.4 105.3  3.1   13.7 100.1 1.8
20.4 200.5 11.3   20.6  77.8  2.8  20.8 100.1  3.6   20.1  97.7 2.6
29.0 210.1 10.7   29.6  71.5  3.3  29.0  87.8  3.0   28.4  92.4 3.2
44.7 219.2 10.5   46.4  70.5  3.8  43.7  72.6  4.5   40.8  95.7 8.1
62.0 220.2 10.8   62.0  62.3  4.7 
79.8 216.1 12.5   79.8  58.8  6.9 
99.1 222.9 31.2   99.1  62.1 23.2
