# UGC 6787 = NGC 3898
# Gutierrez+2011, AJ, 142, 145, 2011
# r    mu_R
# "    mag/"^2
  1.21 15.65
  1.25 15.68
  1.28 15.70
  1.32 15.72
  1.36 15.74
  1.40 15.77
  1.45 15.79
  1.49 15.82
  1.53 15.84
  1.58 15.87
  1.63 15.90
  1.68 15.93
  1.73 15.96
  1.78 15.98
  1.83 16.02
  1.88 16.05
  1.94 16.08
  2.00 16.11
  2.06 16.15
  2.12 16.18
  2.19 16.21
  2.25 16.25
  2.32 16.29
  2.39 16.33
  2.46 16.36
  2.53 16.40
  2.61 16.43
  2.69 16.47
  2.77 16.51
  2.85 16.55
  2.94 16.59
  3.03 16.63
  3.12 16.67
  3.21 16.72
  3.31 16.76
  3.41 16.80
  3.51 16.84
  3.61 16.89
  3.72 16.93
  3.83 16.97
  3.95 17.02
  4.07 17.06
  4.19 17.11
  4.31 17.15
  4.44 17.20
  4.58 17.24
  4.71 17.29
  4.85 17.33
  5.00 17.38
  5.15 17.43
  5.31 17.48
  5.46 17.52
  5.63 17.57
  5.80 17.62
  5.97 17.67
  6.15 17.71
  6.34 17.76
  6.53 17.81
  6.72 17.86
  6.92 17.91
  7.13 17.95
  7.35 18.00
  7.56 18.04
  7.79 18.09
  8.03 18.13
  8.27 18.18
  8.51 18.22
  8.77 18.27
  9.03 18.31
  9.31 18.35
  9.58 18.40
  9.87 18.45
 10.17 18.49
 10.47 18.54
 10.79 18.59
 11.11 18.63
 11.44 18.68
 11.78 18.73
 12.14 18.78
 12.51 18.83
 12.88 18.89
 13.27 18.93
 13.66 18.99
 14.07 19.04
 14.49 19.09
 14.93 19.15
 15.38 19.20
 15.84 19.26
 16.32 19.31
 16.80 19.38
 17.31 19.43
 17.83 19.49
 18.36 19.55
 18.91 19.61
 19.48 19.66
 20.07 19.72
 20.67 19.79
 21.28 19.85
 21.93 19.90
 22.58 19.96
 23.26 20.02
 23.96 20.08
 24.68 20.14
 25.42 20.18
 26.18 20.24
 26.97 20.29
 27.78 20.35
 28.61 20.41
 29.47 20.46
 30.35 20.51
 31.26 20.56
 32.20 20.62
 33.17 20.67
 34.16 20.71
 35.18 20.77
 36.24 20.82
 37.33 20.87
 38.45 20.93
 39.60 20.96
 40.79 21.01
 42.01 21.06
 43.27 21.11
 44.57 21.16
 45.91 21.21
 47.29 21.27
 48.70 21.33
 50.17 21.38
 51.67 21.43
 53.22 21.50
 54.81 21.57
 56.46 21.63
 58.15 21.70
 59.90 21.77
 61.70 21.84
 63.55 21.90
 65.45 21.96
 67.42 22.04
 69.44 22.10
 71.52 22.17
 73.67 22.25
 75.88 22.31
 78.15 22.40
 80.50 22.46
 82.91 22.55
 85.40 22.62
 87.96 22.69
 90.60 22.78
 93.32 22.88
 96.12 22.92
 99.00 23.01
101.97 23.09
105.03 23.17
108.18 23.26
111.43 23.33
114.77 23.45
118.21 23.51
121.76 23.59
125.41 23.70
129.18 23.77
133.05 23.87
137.04 23.97
141.15 24.06
145.39 24.17
149.75 24.24
154.24 24.32
158.87 24.40
163.64 24.50
168.55 24.57
173.60 24.70
178.81 24.75
184.18 24.90
189.70 24.97
195.39 25.12
201.25 25.15
207.29 25.29
213.51 25.40
219.91 25.50
226.51 25.60
233.31 25.75
240.30 25.88
247.52 26.03
254.94 26.20
262.59 26.27
270.47 26.42
278.58 26.56
286.94 26.66
295.55 26.74
304.41 27.04
313.54 26.94
322.95 27.24
332.64 27.03
342.62 27.80
352.90 27.17
363.48 27.85
