ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
7715,J115654.89+004326.1,179.22873,0.72392,15.966,15.82,0.07798,0.07927,-22.06,4.28,20.9,22.34,23.9,0.2308,74.4,10.99,1.29,0.073,8,0
7841,J115826.11+004247.1,179.60883,0.71311,15.477,15.8,0.07852,0.07981,-22.07,2.74,18.99,19.99,21.65,0.6845,62.02,10.96,1.24,0.085,8,0
8353,J120803.95+004151.3,182.01649,0.69761,15.618,15.44,0.01967,0.02147,-19.41,5.37,20.9,21.43,23.42,0.3726,58.87,9.44,0.56,0.093,8,0
8391,J120831.01+004509.3,182.12925,0.7526,17.927,17.928,0.02035,0.02205,-16.98,1.64,20.79,21.81,23.47,0.1988,46.16,8.81,0.99,0.095,8,0
8404,J120852.97+004220.0,182.22071,0.70557,17.907,17.852,0.01885,0.02077,-16.92,4.07,22.62,23.5,25.21,0.1941,71.28,8.75,0.94,0.094,8,0
8485,J121012.33+004514.5,182.55137,0.75403,16.87,16.868,0.01951,0.02133,-18,6.17,21.48,22.31,24.05,0.7339,90.59,9.21,0.97,0.109,8,0
8487,J121032.60+004039.0,182.63586,0.6775,14.068,13.801,0.02024,0.02196,-21.13,8,20.2,21.74,23.3,0.2416,169.17999,10.59,1.13,0.107,8,0
8490,J121033.96+004017.3,182.64152,0.67148,18.158,17.511,0.01998,0.02173,-17.42,2.42,21.95,22.67,24.48,0.2819,156.05,9.05,1.05,0.107,8,0
8562,J121109.76+004708.7,182.79067,0.78576,18.262,18.174,0.01991,0.02167,-16.73,4.57,23.24,23.89,25.75,0.2816,119.73,8.42,0.62,0.101,8,0
8570,J121119.88+004817.1,182.83286,0.80475,16.583,16.282,0.02072,0.02237,-18.67,4.8,23.51,24.26,26.05,0.3522,121.81,9.27,0.7,0.103,8,5
